FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-611.809664;-611.809664;-;
0;-;0.300000;-1000.172723;-;-;-;-611.809664;-610.853563;-;
0;-;0.500000;-1001.371578;-;-;-;-611.809664;-610.216163;-;
0;-;0.700000;-1002.570434;-;-;-;-611.809664;-609.578762;-;
0;-;1.000000;-1004.368717;-;-;-;-611.809664;-608.622661;-;
1;0;0.000000;-1002.029283;-;-;-;-611.809664;-609.866478;-;
1;1;0.500000;-1001.453771;-;-;-;-611.809664;-610.172463;-;
1;1;2.000000;-1001.699117;-;-;-;-611.809664;-610.042019;-;
1;1;5.000000;-1002.173691;-;-;-;-611.809664;-609.789700;-;
1;1;10.000000;-1002.868583;-;-;-;-611.809664;-609.420244;-;
1;2;0.500000;-1002.377652;-;-;-;-611.809664;-609.681259;-;
1;2;2.000000;-1003.259109;-;-;-;-611.809664;-609.212611;-;
1;2;5.000000;-1004.123174;-;-;-;-611.809664;-608.753210;-;
1;2;10.000000;-1004.355506;-;-;-;-611.809664;-608.629684;-;
1;3;0.500000;-1001.667964;-;-;-;-611.809664;-610.058582;-;
1;3;2.000000;-1000.612357;-;-;-;-611.809664;-610.619821;-;
1;3;5.000000;-999.191200;-;-;-;-611.809664;-611.375414;-;
1;3;10.000000;-998.495172;-;-;-;-611.809664;-611.745474;-;
1;4;2.000000;-1003.455687;-;-;-;-611.809664;-609.108095;-;
1;4;5.000000;-1004.314441;-;-;-;-611.809664;-608.651518;-;
1;4;10.000000;-1004.368225;-;-;-;-611.809664;-608.622922;-;
1;5;2.000000;-1000.602878;-;-;-;-611.809664;-610.624861;-;
1;5;5.000000;-998.879562;-;-;-;-611.809664;-611.541104;-;
1;5;10.000000;-998.417005;-;-;-;-611.809664;-611.787033;-;
2;0;0/0.000000;-1002.995533;0.000015;0.394945;1.000041;-611.809664;-609.324735;0.000009;
2;1;-1/1.000000;-1003.011494;0.000014;0.394794;1.000092;-611.809664;-609.324709;0.000009;
2;2;-1/0.500000;-1002.998952;0.000015;0.385265;1.000132;-611.809664;-609.325267;0.000009;
2;2;-1/2.000000;-1003.018146;0.000014;0.403430;1.000048;-611.809664;-609.322840;0.000009;
2;2;-1/5.000000;-1003.044583;0.000013;0.414268;1.000018;-611.809664;-609.320746;0.000008;
2;2;-1/10.000000;-1003.089275;0.000011;0.410015;1.000109;-611.809664;-609.318760;0.000007;
2;2;-1/20.000000;-1003.164900;0.000009;0.383496;1.000064;-611.809664;-609.314326;0.000006;
2;2;-1/40.000000;-1003.283233;0.000006;0.326863;1.000103;-611.809664;-609.313196;0.000006;
2;2;-1/80.000000;-1003.440539;0.000003;0.212364;1.000116;-611.809664;-609.319115;0.000005;
2;3;-1/1.000000;-1003.068117;0.000011;0.388277;1.000150;-611.809664;-609.316089;0.000008;
2;3;-1/2.000000;-1003.077730;0.000011;0.416169;1.000050;-611.809664;-609.318853;0.000008;
2;3;-1/5.000000;-1003.112077;0.000010;0.393831;1.000053;-611.809664;-609.317928;0.000007;
2;3;-1/10.000000;-1003.159256;0.000008;0.394917;1.000072;-611.809664;-609.314626;0.000006;
2;3;-1/20.000000;-1003.238587;0.000006;0.374247;1.000115;-611.809664;-609.312795;0.000006;
2;4;-1/1.000000;-1003.010921;0.000014;0.401263;1.000056;-611.809664;-609.324814;0.000009;
2;4;-1/2.000000;-1003.004460;0.000015;0.399334;1.000140;-611.809664;-609.325456;0.000009;
2;4;-1/5.000000;-1002.999750;0.000014;0.409770;1.000128;-611.809664;-609.325845;0.000009;
2;4;-1/10.000000;-1002.994773;0.000016;0.386452;1.000051;-611.809664;-609.323365;0.000009;
2;4;-1/20.000000;-1002.996268;0.000015;0.395018;1.000184;-611.809664;-609.327144;0.000009;

