FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-691.404999;-691.404999;-;
0;-;0.300000;-1000.172723;-;-;-;-691.404999;-689.754801;-;
0;-;0.500000;-1001.371578;-;-;-;-691.404999;-688.654670;-;
0;-;0.700000;-1002.570434;-;-;-;-691.404999;-687.554538;-;
0;-;1.000000;-1004.368717;-;-;-;-691.404999;-685.904341;-;
1;0;0.000000;-1001.720320;-;-;-;-691.404999;-688.334646;-;
1;1;0.500000;-1001.415168;-;-;-;-691.404999;-688.614670;-;
1;1;2.000000;-1001.545753;-;-;-;-691.404999;-688.494838;-;
1;1;5.000000;-1001.804457;-;-;-;-691.404999;-688.257438;-;
1;1;10.000000;-1002.219645;-;-;-;-691.404999;-687.876439;-;
1;2;0.500000;-1002.084445;-;-;-;-691.404999;-688.000506;-;
1;2;2.000000;-1003.036744;-;-;-;-691.404999;-687.126628;-;
1;2;5.000000;-1004.039038;-;-;-;-691.404999;-686.206871;-;
1;2;10.000000;-1004.346414;-;-;-;-691.404999;-685.924806;-;
1;3;0.500000;-1001.349079;-;-;-;-691.404999;-688.675316;-;
1;3;2.000000;-1000.301254;-;-;-;-691.404999;-689.636854;-;
1;3;5.000000;-998.996407;-;-;-;-691.404999;-690.834250;-;
1;3;10.000000;-998.446437;-;-;-;-691.404999;-691.338931;-;
1;4;2.000000;-1003.198600;-;-;-;-691.404999;-686.978100;-;
1;4;5.000000;-1004.267799;-;-;-;-691.404999;-685.996948;-;
1;4;10.000000;-1004.367018;-;-;-;-691.404999;-685.905900;-;
1;5;2.000000;-1000.242040;-;-;-;-691.404999;-689.691192;-;
1;5;5.000000;-998.699231;-;-;-;-691.404999;-691.106953;-;
1;5;10.000000;-998.392038;-;-;-;-691.404999;-691.388850;-;
2;0;0/0.000000;-1002.995533;0.000015;0.394945;1.000041;-691.404999;-686.955400;0.000013;
2;1;-1/1.000000;-1002.995533;0.000015;0.394945;1.000041;-691.404999;-686.955400;0.000013;
2;2;-1/0.500000;-1002.999247;0.000015;0.406281;1.000082;-691.404999;-686.956245;0.000013;
2;2;-1/2.000000;-1003.006358;0.000015;0.397461;1.000167;-691.404999;-686.951641;0.000013;
2;2;-1/5.000000;-1003.023601;0.000014;0.412049;1.000206;-691.404999;-686.943581;0.000012;
2;2;-1/10.000000;-1003.048185;0.000013;0.422066;1.000041;-691.404999;-686.930892;0.000011;
2;2;-1/20.000000;-1003.092996;0.000011;0.392478;1.000023;-691.404999;-686.908618;0.000010;
2;2;-1/40.000000;-1003.172991;0.000008;0.386104;1.000074;-691.404999;-686.873590;0.000008;
2;2;-1/80.000000;-1003.296167;0.000006;0.309950;1.000064;-691.404999;-686.822005;0.000006;
2;3;-1/1.000000;-1003.062387;0.000012;0.402477;1.000149;-691.404999;-686.923179;0.000011;
2;3;-1/2.000000;-1003.066495;0.000012;0.401266;1.000218;-691.404999;-686.921309;0.000010;
2;3;-1/5.000000;-1003.084335;0.000011;0.396960;1.000018;-691.404999;-686.912828;0.000010;
2;3;-1/10.000000;-1003.113569;0.000010;0.390651;1.000064;-691.404999;-686.898989;0.000009;
2;3;-1/20.000000;-1003.166248;0.000008;0.402508;1.000100;-691.404999;-686.874190;0.000008;
2;4;-1/1.000000;-1003.003686;0.000015;0.402362;1.000116;-691.404999;-686.955154;0.000013;
2;4;-1/2.000000;-1003.002667;0.000014;0.385158;1.000214;-691.404999;-686.954863;0.000013;
2;4;-1/5.000000;-1003.001315;0.000014;0.401696;1.000120;-691.404999;-686.953451;0.000013;
2;4;-1/10.000000;-1002.996505;0.000015;0.396119;1.000139;-691.404999;-686.956921;0.000013;
2;4;-1/20.000000;-1002.993834;0.000016;0.385403;1.000120;-691.404999;-686.958937;0.000014;

