FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-134.168745;-;-;-;-15.400000;-14.144400;-;
0;-;0.300000;-135.189340;-;-;-;-15.400000;-14.144400;-;
0;-;0.500000;-135.869736;-;-;-;-15.400000;-14.144400;-;
0;-;0.700000;-136.550133;-;-;-;-15.400000;-14.144400;-;
0;-;1.000000;-137.570727;-;-;-;-15.400000;-14.144400;-;
1;0;0.000000;-134.586000;-;-;-;-15.400000;-14.144400;-;
1;1;0.500000;-135.709744;-;-;-;-15.400000;-14.144400;-;
1;1;2.000000;-135.256693;-;-;-;-15.400000;-14.144400;-;
1;1;5.000000;-134.616500;-;-;-;-15.400000;-14.144400;-;
1;1;10.000000;-134.245139;-;-;-;-15.400000;-14.144400;-;
1;2;0.500000;-134.683040;-;-;-;-15.400000;-14.144400;-;
1;2;2.000000;-135.024611;-;-;-;-15.400000;-14.144400;-;
1;2;5.000000;-135.738839;-;-;-;-15.400000;-14.144400;-;
1;2;10.000000;-136.572981;-;-;-;-15.400000;-14.144400;-;
1;3;0.500000;-134.500409;-;-;-;-15.400000;-14.144400;-;
1;3;2.000000;-134.316775;-;-;-;-15.400000;-14.144400;-;
1;3;5.000000;-134.188279;-;-;-;-15.400000;-14.144400;-;
1;3;10.000000;-134.169117;-;-;-;-15.400000;-14.144400;-;
1;4;2.000000;-134.952078;-;-;-;-15.400000;-14.144400;-;
1;4;5.000000;-135.802268;-;-;-;-15.400000;-14.144400;-;
1;4;10.000000;-136.651425;-;-;-;-15.400000;-14.144400;-;
1;5;2.000000;-134.219922;-;-;-;-15.400000;-14.144400;-;
1;5;5.000000;-134.168840;-;-;-;-15.400000;-14.144400;-;
1;5;10.000000;-134.168745;-;-;-;-15.400000;-14.144400;-;
2;0;0/0.000000;-136.390608;0.000004;0.087867;1.001182;-15.400000;-14.208178;0.000001;
2;1;-1/1.000000;-136.377185;0.000005;0.076003;1.002655;-15.400000;-14.205828;0.000001;
2;2;-1/0.500000;-136.382342;0.000005;0.074149;1.001351;-15.400000;-14.207287;0.000001;
2;2;-1/2.000000;-136.379996;0.000004;0.068888;1.001434;-15.400000;-14.206687;0.000001;
2;2;-1/5.000000;-136.360400;0.000006;0.077267;1.001539;-15.400000;-14.205647;0.000001;
2;2;-1/10.000000;-136.326132;0.000007;0.073860;1.002403;-15.400000;-14.203729;0.000001;
2;2;-1/20.000000;-136.244629;0.000014;0.055052;1.001183;-15.400000;-14.198391;0.000000;
2;2;-1/40.000000;-135.984069;0.000081;0.020836;1.001901;-15.400000;-14.188363;0.000000;
2;2;-1/80.000000;-135.266206;0.000152;0.008768;1.009649;-15.400000;-14.170376;0.000000;
2;3;-1/1.000000;-136.350705;0.000005;0.082575;1.001477;-15.400000;-14.205387;0.000001;
2;3;-1/2.000000;-136.335099;0.000006;0.077132;1.001151;-15.400000;-14.203525;0.000001;
2;3;-1/5.000000;-136.277158;0.000010;0.062033;1.002779;-15.400000;-14.200239;0.000001;
2;3;-1/10.000000;-136.167728;0.000018;0.047830;1.001356;-15.400000;-14.195873;0.000000;
2;3;-1/20.000000;-135.909702;0.000070;0.017126;1.002398;-15.400000;-14.186105;0.000000;
2;4;-1/1.000000;-136.372097;0.000004;0.086763;1.002157;-15.400000;-14.206467;0.000001;
2;4;-1/2.000000;-136.381167;0.000005;0.077685;1.001138;-15.400000;-14.206581;0.000001;
2;4;-1/5.000000;-136.388173;0.000004;0.088320;1.001573;-15.400000;-14.208432;0.000001;
2;4;-1/10.000000;-136.386252;0.000005;0.092487;1.001036;-15.400000;-14.206928;0.000001;
2;4;-1/20.000000;-136.388947;0.000005;0.068398;1.001546;-15.400000;-14.208049;0.000001;

