FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-168.346282;-;-;-;-28.578947;-27.154877;-;
0;-;0.300000;-170.526470;-;-;-;-28.578947;-27.154877;-;
0;-;0.500000;-171.979929;-;-;-;-28.578947;-27.154877;-;
0;-;0.700000;-173.433387;-;-;-;-28.578947;-27.154877;-;
0;-;1.000000;-175.613575;-;-;-;-28.578947;-27.154877;-;
1;0;0.000000;-169.804719;-;-;-;-28.578947;-27.154877;-;
1;1;0.500000;-171.708534;-;-;-;-28.578947;-27.154877;-;
1;1;2.000000;-170.923680;-;-;-;-28.578947;-27.154877;-;
1;1;5.000000;-169.675738;-;-;-;-28.578947;-27.154877;-;
1;1;10.000000;-168.693196;-;-;-;-28.578947;-27.154877;-;
1;2;0.500000;-170.109637;-;-;-;-28.578947;-27.154877;-;
1;2;2.000000;-171.124874;-;-;-;-28.578947;-27.154877;-;
1;2;5.000000;-172.980453;-;-;-;-28.578947;-27.154877;-;
1;2;10.000000;-174.637054;-;-;-;-28.578947;-27.154877;-;
1;3;0.500000;-169.528699;-;-;-;-28.578947;-27.154877;-;
1;3;2.000000;-168.908039;-;-;-;-28.578947;-27.154877;-;
1;3;5.000000;-168.431451;-;-;-;-28.578947;-27.154877;-;
1;3;10.000000;-168.348407;-;-;-;-28.578947;-27.154877;-;
1;4;2.000000;-170.970469;-;-;-;-28.578947;-27.154877;-;
1;4;5.000000;-173.242406;-;-;-;-28.578947;-27.154877;-;
1;4;10.000000;-174.839911;-;-;-;-28.578947;-27.154877;-;
1;5;2.000000;-168.638968;-;-;-;-28.578947;-27.154877;-;
1;5;5.000000;-168.348648;-;-;-;-28.578947;-27.154877;-;
1;5;10.000000;-168.346283;-;-;-;-28.578947;-27.154877;-;
2;0;0/0.000000;-170.542285;0.000014;0.047158;1.000929;-28.578947;-27.176982;0.000000;
2;1;-1/1.000000;-170.539887;0.000014;0.047784;1.000835;-28.578947;-27.177079;0.000000;
2;2;-1/0.500000;-170.541127;0.000015;0.046763;1.001545;-28.578947;-27.176852;0.000000;
2;2;-1/2.000000;-170.536160;0.000014;0.046028;1.001108;-28.578947;-27.177009;0.000000;
2;2;-1/5.000000;-170.527632;0.000013;0.048490;1.001074;-28.578947;-27.176880;0.000000;
2;2;-1/10.000000;-170.510281;0.000011;0.054858;1.001194;-28.578947;-27.176560;0.000000;
2;2;-1/20.000000;-170.481610;0.000008;0.060131;1.001721;-28.578947;-27.176531;0.000000;
2;2;-1/40.000000;-170.431784;0.000007;0.061484;1.001563;-28.578947;-27.176031;0.000000;
2;2;-1/80.000000;-170.349136;0.000005;0.061068;1.001468;-28.578947;-27.175302;0.000000;
2;3;-1/1.000000;-170.530744;0.000013;0.051358;1.001147;-28.578947;-27.176860;0.000000;
2;3;-1/2.000000;-170.525110;0.000013;0.050936;1.000815;-28.578947;-27.176979;0.000000;
2;3;-1/5.000000;-170.511116;0.000011;0.053978;1.001484;-28.578947;-27.176683;0.000000;
2;3;-1/10.000000;-170.490893;0.000009;0.059663;1.001212;-28.578947;-27.176476;0.000000;
2;3;-1/20.000000;-170.453503;0.000007;0.062221;1.001776;-28.578947;-27.176342;0.000000;
2;4;-1/1.000000;-170.537424;0.000013;0.049901;1.000791;-28.578947;-27.176878;0.000000;
2;4;-1/2.000000;-170.540705;0.000015;0.044794;1.000879;-28.578947;-27.176978;0.000000;
2;4;-1/5.000000;-170.542807;0.000016;0.044010;1.001086;-28.578947;-27.176938;0.000000;
2;4;-1/10.000000;-170.542062;0.000014;0.048221;1.000815;-28.578947;-27.176997;0.000000;
2;4;-1/20.000000;-170.542306;0.000014;0.047465;1.001023;-28.578947;-27.176925;0.000000;

