FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-260.871828;-;-;-;-335.740741;-332.383331;-;
0;-;0.300000;-301.610280;-;-;-;-335.740741;-333.390554;-;
0;-;0.500000;-328.769247;-;-;-;-335.740741;-334.062036;-;
0;-;0.700000;-355.928215;-;-;-;-335.740741;-334.733518;-;
0;-;1.000000;-396.666667;-;-;-;-335.740741;-335.740741;-;
1;0;0.000000;-396.666562;-;-;-;-335.740741;-335.740738;-;
1;1;0.500000;-337.212482;-;-;-;-335.740741;-334.270787;-;
1;1;2.000000;-360.145769;-;-;-;-335.740741;-334.837793;-;
1;1;5.000000;-386.365481;-;-;-;-335.740741;-335.486053;-;
1;1;10.000000;-395.757805;-;-;-;-335.740741;-335.718270;-;
1;2;0.500000;-396.666586;-;-;-;-335.740741;-335.740739;-;
1;2;2.000000;-396.666634;-;-;-;-335.740741;-335.740740;-;
1;2;5.000000;-396.666663;-;-;-;-335.740741;-335.740741;-;
1;2;10.000000;-396.666667;-;-;-;-335.740741;-335.740741;-;
1;3;0.500000;-396.666533;-;-;-;-335.740741;-335.740737;-;
1;3;2.000000;-396.666424;-;-;-;-335.740741;-335.740735;-;
1;3;5.000000;-396.666139;-;-;-;-335.740741;-335.740728;-;
1;3;10.000000;-396.665618;-;-;-;-335.740741;-335.740715;-;
1;4;2.000000;-396.666667;-;-;-;-335.740741;-335.740741;-;
1;4;5.000000;-396.666667;-;-;-;-335.740741;-335.740741;-;
1;4;10.000000;-396.666667;-;-;-;-335.740741;-335.740741;-;
1;5;2.000000;-396.666457;-;-;-;-335.740741;-335.740736;-;
1;5;5.000000;-396.666142;-;-;-;-335.740741;-335.740728;-;
1;5;10.000000;-396.665618;-;-;-;-335.740741;-335.740715;-;
2;0;0/0.000000;-325.592164;0.032625;0.963178;1.000035;-335.740741;-333.191311;0.000010;
2;1;-1/1.000000;-345.102600;0.022929;0.961404;1.000040;-335.740741;-333.191516;0.000010;
2;2;-1/0.500000;-330.221367;0.032398;0.961485;1.000036;-335.740741;-333.193734;0.000010;
2;2;-1/2.000000;-343.278168;0.028180;0.959823;1.000038;-335.740741;-333.200882;0.000010;
2;2;-1/5.000000;-361.594144;0.015095;0.967486;1.000033;-335.740741;-333.214981;0.000011;
2;2;-1/10.000000;-374.455989;0.005133;0.974695;1.000035;-335.740741;-333.237253;0.000011;
2;2;-1/20.000000;-382.506210;0.001569;0.973467;1.000037;-335.740741;-333.278184;0.000011;
2;2;-1/40.000000;-387.765009;0.000532;0.962772;1.000050;-335.740741;-333.352616;0.000013;
2;2;-1/80.000000;-391.196947;0.000160;0.873693;1.000041;-335.740741;-333.494301;0.000016;
2;3;-1/1.000000;-355.620558;0.015646;0.964576;1.000035;-335.740741;-333.207005;0.000010;
2;3;-1/2.000000;-362.009247;0.011263;0.966267;1.000034;-335.740741;-333.211967;0.000011;
2;3;-1/5.000000;-371.835311;0.005378;0.969816;1.000034;-335.740741;-333.226507;0.000011;
2;3;-1/10.000000;-378.594287;0.002490;0.972485;1.000037;-335.740741;-333.249323;0.000011;
2;3;-1/20.000000;-384.091181;0.001067;0.973552;1.000037;-335.740741;-333.290961;0.000012;
2;4;-1/1.000000;-345.113913;0.022930;0.961264;1.000037;-335.740741;-333.201642;0.000010;
2;4;-1/2.000000;-336.946644;0.027874;0.961255;1.000037;-335.740741;-333.198071;0.000010;
2;4;-1/5.000000;-330.579355;0.030910;0.961920;1.000036;-335.740741;-333.194686;0.000010;
2;4;-1/10.000000;-328.160680;0.031821;0.962437;1.000036;-335.740741;-333.193160;0.000010;
2;4;-1/20.000000;-326.897654;0.032238;0.962639;1.000035;-335.740741;-333.192279;0.000010;

