FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-612.116897;-;-;-;-3.830688;-2.900732;-;
0;-;0.300000;-615.257179;-;-;-;-3.830688;-1.766785;-;
0;-;0.500000;-617.350700;-;-;-;-3.830688;-1.010820;-;
0;-;0.700000;-619.444221;-;-;-;-3.830688;-0.254855;-;
0;-;1.000000;-622.584503;-;-;-;-3.830688;0.879092;-;
1;0;0.000000;-612.202035;-;-;-;-3.830688;-2.869989;-;
1;1;0.500000;-616.710341;-;-;-;-3.830688;-1.242052;-;
1;1;2.000000;-614.965674;-;-;-;-3.830688;-1.872047;-;
1;1;5.000000;-612.941313;-;-;-;-3.830688;-2.603038;-;
1;1;10.000000;-612.192849;-;-;-;-3.830688;-2.873306;-;
1;2;0.500000;-612.224866;-;-;-;-3.830688;-2.861745;-;
1;2;2.000000;-612.312231;-;-;-;-3.830688;-2.830198;-;
1;2;5.000000;-612.536877;-;-;-;-3.830688;-2.749079;-;
1;2;10.000000;-612.934611;-;-;-;-3.830688;-2.605458;-;
1;3;0.500000;-612.182651;-;-;-;-3.830688;-2.876989;-;
1;3;2.000000;-612.143766;-;-;-;-3.830688;-2.891030;-;
1;3;5.000000;-612.119844;-;-;-;-3.830688;-2.899668;-;
1;3;10.000000;-612.116937;-;-;-;-3.830688;-2.900718;-;
1;4;2.000000;-612.286481;-;-;-;-3.830688;-2.839496;-;
1;4;5.000000;-612.535719;-;-;-;-3.830688;-2.749497;-;
1;4;10.000000;-612.937783;-;-;-;-3.830688;-2.604313;-;
1;5;2.000000;-612.117590;-;-;-;-3.830688;-2.900482;-;
1;5;5.000000;-612.116897;-;-;-;-3.830688;-2.900732;-;
1;5;10.000000;-612.116897;-;-;-;-3.830688;-2.900732;-;
2;0;0/0.000000;-617.596981;0.000035;0.755218;1.000125;-3.830688;-0.234672;0.000011;
2;1;-1/1.000000;-617.391877;0.000034;0.727879;1.000105;-3.830688;-0.282622;0.000012;
2;2;-1/0.500000;-617.547825;0.000035;0.747160;1.000118;-3.830688;-0.246574;0.000011;
2;2;-1/2.000000;-617.398975;0.000036;0.723063;1.000101;-3.830688;-0.283176;0.000012;
2;2;-1/5.000000;-617.094978;0.000038;0.657250;1.000097;-3.830688;-0.362335;0.000015;
2;2;-1/10.000000;-616.585416;0.000041;0.534549;1.000098;-3.830688;-0.506932;0.000021;
2;2;-1/20.000000;-615.655688;0.000044;0.326285;1.000191;-3.830688;-0.825497;0.000041;
2;2;-1/40.000000;-614.437067;0.000038;0.152344;1.000229;-3.830688;-1.388025;0.000075;
2;2;-1/80.000000;-613.400591;0.000025;0.080235;1.000406;-3.830688;-2.035197;0.000064;
2;3;-1/1.000000;-617.192691;0.000034;0.692573;1.000104;-3.830688;-0.333736;0.000014;
2;3;-1/2.000000;-617.009307;0.000033;0.654106;1.000105;-3.830688;-0.381638;0.000015;
2;3;-1/5.000000;-616.512389;0.000033;0.536619;1.000101;-3.830688;-0.522573;0.000021;
2;3;-1/10.000000;-615.849585;0.000032;0.379063;1.000142;-3.830688;-0.743152;0.000034;
2;3;-1/20.000000;-614.960690;0.000030;0.213220;1.000109;-3.830688;-1.112374;0.000060;
2;4;-1/1.000000;-617.391014;0.000034;0.728392;1.000104;-3.830688;-0.283893;0.000012;
2;4;-1/2.000000;-617.492512;0.000035;0.741912;1.000112;-3.830688;-0.259351;0.000011;
2;4;-1/5.000000;-617.554752;0.000035;0.749705;1.000119;-3.830688;-0.244625;0.000011;
2;4;-1/10.000000;-617.575959;0.000035;0.752973;1.000122;-3.830688;-0.239547;0.000011;
2;4;-1/20.000000;-617.586461;0.000035;0.754181;1.000125;-3.830688;-0.237110;0.000011;

