FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-678.343592;-678.343592;-;
0;-;0.300000;-1000.172723;-;-;-;-678.343592;-677.086003;-;
0;-;0.500000;-1001.371578;-;-;-;-678.343592;-676.247611;-;
0;-;0.700000;-1002.570434;-;-;-;-678.343592;-675.409218;-;
0;-;1.000000;-1004.368717;-;-;-;-678.343592;-674.151629;-;
1;0;0.000000;-1002.897817;-;-;-;-678.343592;-675.180269;-;
1;1;0.500000;-1001.562101;-;-;-;-678.343592;-676.114373;-;
1;1;2.000000;-1002.118624;-;-;-;-678.343592;-675.725181;-;
1;1;5.000000;-1003.057586;-;-;-;-678.343592;-675.068539;-;
1;1;10.000000;-1003.933024;-;-;-;-678.343592;-674.456321;-;
1;2;0.500000;-1003.162544;-;-;-;-678.343592;-674.995139;-;
1;2;2.000000;-1003.774295;-;-;-;-678.343592;-674.567325;-;
1;2;5.000000;-1004.270690;-;-;-;-678.343592;-674.220182;-;
1;2;10.000000;-1004.365823;-;-;-;-678.343592;-674.153653;-;
1;3;0.500000;-1002.609691;-;-;-;-678.343592;-675.381764;-;
1;3;2.000000;-1001.679994;-;-;-;-678.343592;-676.031927;-;
1;3;5.000000;-1000.103187;-;-;-;-678.343592;-677.134632;-;
1;3;10.000000;-998.889477;-;-;-;-678.343592;-677.983413;-;
1;4;2.000000;-1004.007782;-;-;-;-678.343592;-674.404041;-;
1;4;5.000000;-1004.363384;-;-;-;-678.343592;-674.155359;-;
1;4;10.000000;-1004.368712;-;-;-;-678.343592;-674.151632;-;
1;5;2.000000;-1001.787853;-;-;-;-678.343592;-675.956498;-;
1;5;5.000000;-999.841227;-;-;-;-678.343592;-677.317828;-;
1;5;10.000000;-998.733359;-;-;-;-678.343592;-678.092590;-;
2;0;0/0.000000;-1002.995533;0.000015;0.394945;1.000041;-678.343592;-676.200339;0.000006;
2;1;-1/1.000000;-1003.031089;0.000014;0.391928;1.000123;-678.343592;-676.185721;0.000006;
2;2;-1/0.500000;-1003.007709;0.000015;0.398394;1.000208;-678.343592;-676.195428;0.000006;
2;2;-1/2.000000;-1003.042587;0.000014;0.377421;1.000055;-678.343592;-676.184819;0.000006;
2;2;-1/5.000000;-1003.103247;0.000011;0.394754;1.000069;-678.343592;-676.161802;0.000006;
2;2;-1/10.000000;-1003.186877;0.000008;0.394036;1.000054;-678.343592;-676.133010;0.000005;
2;2;-1/20.000000;-1003.315354;0.000005;0.294790;1.000062;-678.343592;-676.088280;0.000007;
2;2;-1/40.000000;-1003.476166;0.000003;0.178745;1.000305;-678.343592;-676.027893;0.000011;
2;2;-1/80.000000;-1003.635460;0.000003;0.079154;1.000136;-678.343592;-675.947164;0.000028;
2;3;-1/1.000000;-1003.083233;0.000011;0.408172;1.000084;-678.343592;-676.169431;0.000005;
2;3;-1/2.000000;-1003.107167;0.000010;0.419354;1.000043;-678.343592;-676.162001;0.000005;
2;3;-1/5.000000;-1003.175715;0.000008;0.406805;1.000056;-678.343592;-676.137326;0.000005;
2;3;-1/10.000000;-1003.261827;0.000006;0.354553;1.000183;-678.343592;-676.107423;0.000006;
2;3;-1/20.000000;-1003.384873;0.000004;0.257869;1.000198;-678.343592;-676.067358;0.000007;
2;4;-1/1.000000;-1003.027263;0.000013;0.400888;1.000065;-678.343592;-676.189771;0.000006;
2;4;-1/2.000000;-1003.011762;0.000014;0.388689;1.000023;-678.343592;-676.196094;0.000006;
2;4;-1/5.000000;-1003.006512;0.000014;0.399253;1.000062;-678.343592;-676.196116;0.000006;
2;4;-1/10.000000;-1002.998338;0.000015;0.386789;1.000097;-678.343592;-676.201921;0.000006;
2;4;-1/20.000000;-1002.998936;0.000015;0.395531;1.000136;-678.343592;-676.200648;0.000006;

