FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-202.200726;-200.273439;-;
0;-;0.300000;-1000.172723;-;-;-;-202.200726;-199.742476;-;
0;-;0.500000;-1001.371578;-;-;-;-202.200726;-199.388501;-;
0;-;0.700000;-1002.570434;-;-;-;-202.200726;-199.034525;-;
0;-;1.000000;-1004.368717;-;-;-;-202.200726;-198.503562;-;
1;0;0.000000;-999.975241;-;-;-;-202.200726;-199.800785;-;
1;1;0.500000;-1001.197233;-;-;-;-202.200726;-199.439978;-;
1;1;2.000000;-1000.685769;-;-;-;-202.200726;-199.590993;-;
1;1;5.000000;-999.799937;-;-;-;-202.200726;-199.852545;-;
1;1;10.000000;-998.906210;-;-;-;-202.200726;-200.116428;-;
1;2;0.500000;-1000.278689;-;-;-;-202.200726;-199.711188;-;
1;2;2.000000;-1001.243166;-;-;-;-202.200726;-199.426416;-;
1;2;5.000000;-1002.821672;-;-;-;-202.200726;-198.960344;-;
1;2;10.000000;-1003.954081;-;-;-;-202.200726;-198.625988;-;
1;3;0.500000;-999.694418;-;-;-;-202.200726;-199.883701;-;
1;3;2.000000;-999.036749;-;-;-;-202.200726;-200.077885;-;
1;3;5.000000;-998.488339;-;-;-;-202.200726;-200.239809;-;
1;3;10.000000;-998.378100;-;-;-;-202.200726;-200.272358;-;
1;4;2.000000;-1001.148540;-;-;-;-202.200726;-199.454355;-;
1;4;5.000000;-1003.100790;-;-;-;-202.200726;-198.877932;-;
1;4;10.000000;-1004.100521;-;-;-;-202.200726;-198.582750;-;
1;5;2.000000;-998.801941;-;-;-;-202.200726;-200.147214;-;
1;5;5.000000;-998.382582;-;-;-;-202.200726;-200.271035;-;
1;5;10.000000;-998.374451;-;-;-;-202.200726;-200.273436;-;
2;0;0/0.000000;-1002.995533;0.000015;0.394945;1.000041;-202.200726;-199.747208;0.000003;
2;1;-1/1.000000;-1002.940946;0.000018;0.364524;1.000138;-202.200726;-199.765765;0.000004;
2;2;-1/0.500000;-1002.986566;0.000014;0.392465;1.000102;-202.200726;-199.751338;0.000003;
2;2;-1/2.000000;-1002.953193;0.000018;0.381334;1.000186;-202.200726;-199.762240;0.000004;
2;2;-1/5.000000;-1002.884079;0.000021;0.347577;1.000179;-202.200726;-199.785249;0.000004;
2;2;-1/10.000000;-1002.735694;0.000030;0.290426;1.000124;-202.200726;-199.831471;0.000005;
2;2;-1/20.000000;-1002.373548;0.000059;0.197694;1.000639;-202.200726;-199.927417;0.000006;
2;2;-1/40.000000;-1001.363525;0.000146;0.086056;1.000819;-202.200726;-200.115087;0.000010;
2;2;-1/80.000000;-999.972881;0.000085;0.048008;1.001174;-202.200726;-200.213635;0.000008;
2;3;-1/1.000000;-1002.698742;0.000024;0.309831;1.000083;-202.200726;-199.847990;0.000004;
2;3;-1/2.000000;-1002.602508;0.000026;0.289941;1.000201;-202.200726;-199.878377;0.000005;
2;3;-1/5.000000;-1002.309126;0.000035;0.228674;1.000066;-202.200726;-199.958511;0.000006;
2;3;-1/10.000000;-1001.853827;0.000047;0.144933;1.000755;-202.200726;-200.057928;0.000010;
2;3;-1/20.000000;-1001.156224;0.000061;0.092291;1.000709;-202.200726;-200.147058;0.000013;
2;4;-1/1.000000;-1002.905778;0.000017;0.368899;1.000199;-202.200726;-199.778979;0.000004;
2;4;-1/2.000000;-1002.953315;0.000016;0.385479;1.000114;-202.200726;-199.762812;0.000004;
2;4;-1/5.000000;-1002.977281;0.000015;0.385830;1.000043;-202.200726;-199.754718;0.000004;
2;4;-1/10.000000;-1002.987233;0.000015;0.389657;1.000053;-202.200726;-199.750967;0.000003;
2;4;-1/20.000000;-1002.992200;0.000016;0.386573;1.000071;-202.200726;-199.748312;0.000004;

