FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-552.800810;-;-;-;-227.124026;-222.973926;-;
0;-;0.300000;-579.318484;-;-;-;-227.124026;-222.973926;-;
0;-;0.500000;-596.996933;-;-;-;-227.124026;-222.973926;-;
0;-;0.700000;-614.675383;-;-;-;-227.124026;-222.973926;-;
0;-;1.000000;-641.193057;-;-;-;-227.124026;-222.973926;-;
1;0;0.000000;-601.175555;-;-;-;-227.124026;-222.973926;-;
1;1;0.500000;-597.519237;-;-;-;-227.124026;-222.973926;-;
1;1;2.000000;-599.084689;-;-;-;-227.124026;-222.973926;-;
1;1;5.000000;-602.196027;-;-;-;-227.124026;-222.973926;-;
1;1;10.000000;-607.253190;-;-;-;-227.124026;-222.973926;-;
1;2;0.500000;-606.579773;-;-;-;-227.124026;-222.973926;-;
1;2;2.000000;-620.813471;-;-;-;-227.124026;-222.973926;-;
1;2;5.000000;-636.025536;-;-;-;-227.124026;-222.973926;-;
1;2;10.000000;-640.825830;-;-;-;-227.124026;-222.973926;-;
1;3;0.500000;-595.685684;-;-;-;-227.124026;-222.973926;-;
1;3;2.000000;-580.302326;-;-;-;-227.124026;-222.973926;-;
1;3;5.000000;-561.453867;-;-;-;-227.124026;-222.973926;-;
1;3;10.000000;-553.752379;-;-;-;-227.124026;-222.973926;-;
1;4;2.000000;-623.076078;-;-;-;-227.124026;-222.973926;-;
1;4;5.000000;-639.511958;-;-;-;-227.124026;-222.973926;-;
1;4;10.000000;-641.161085;-;-;-;-227.124026;-222.973926;-;
1;5;2.000000;-579.275032;-;-;-;-227.124026;-222.973926;-;
1;5;5.000000;-557.140281;-;-;-;-227.124026;-222.973926;-;
1;5;10.000000;-553.013849;-;-;-;-227.124026;-222.973926;-;
2;0;0/0.000000;-569.613935;0.006590;0.124969;1.000156;-227.124026;-223.661448;0.000009;
2;1;-1/1.000000;-569.994213;0.006897;0.124900;1.000153;-227.124026;-223.658644;0.000009;
2;2;-1/0.500000;-569.703758;0.006663;0.124951;1.000155;-227.124026;-223.660783;0.000009;
2;2;-1/2.000000;-569.977712;0.006889;0.124892;1.000153;-227.124026;-223.658751;0.000009;
2;2;-1/5.000000;-570.546360;0.007376;0.124692;1.000149;-227.124026;-223.654486;0.000009;
2;2;-1/10.000000;-571.557526;0.008265;0.124272;1.000142;-227.124026;-223.646772;0.000009;
2;2;-1/20.000000;-573.838385;0.010432;0.123301;1.000127;-227.124026;-223.628682;0.000009;
2;2;-1/40.000000;-579.505360;0.016335;0.121927;1.000125;-227.124026;-223.581751;0.000008;
2;2;-1/80.000000;-594.180402;0.028756;0.125809;1.000171;-227.124026;-223.453143;0.000006;
2;3;-1/1.000000;-580.513186;0.010564;0.134008;1.000132;-227.124026;-223.579839;0.000008;
2;3;-1/2.000000;-581.361395;0.010795;0.134099;1.000131;-227.124026;-223.572353;0.000007;
2;3;-1/5.000000;-583.795011;0.011390;0.134164;1.000131;-227.124026;-223.550550;0.000007;
2;3;-1/10.000000;-587.494508;0.012096;0.133955;1.000142;-227.124026;-223.516877;0.000006;
2;3;-1/20.000000;-593.745610;0.012720;0.133556;1.000149;-227.124026;-223.459387;0.000005;
2;4;-1/1.000000;-570.595722;0.007016;0.126171;1.000153;-227.124026;-223.656083;0.000009;
2;4;-1/2.000000;-570.104213;0.006804;0.125592;1.000154;-227.124026;-223.658847;0.000009;
2;4;-1/5.000000;-569.809872;0.006676;0.125221;1.000155;-227.124026;-223.660427;0.000009;
2;4;-1/10.000000;-569.711880;0.006633;0.125095;1.000156;-227.124026;-223.660941;0.000009;
2;4;-1/20.000000;-569.662903;0.006611;0.125032;1.000156;-227.124026;-223.661195;0.000009;

