FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-691.405024;-691.404999;-;
0;-;0.300000;-1000.172723;-;-;-;-691.405024;-689.754801;-;
0;-;0.500000;-1001.371578;-;-;-;-691.405024;-688.654670;-;
0;-;0.700000;-1002.570434;-;-;-;-691.405024;-687.554538;-;
0;-;1.000000;-1004.368717;-;-;-;-691.405024;-685.904341;-;
1;0;0.000000;-1001.720320;-;-;-;-691.405024;-688.334646;-;
1;1;0.500000;-1001.415168;-;-;-;-691.405024;-688.614670;-;
1;1;2.000000;-1001.545753;-;-;-;-691.405024;-688.494838;-;
1;1;5.000000;-1001.804457;-;-;-;-691.405024;-688.257437;-;
1;1;10.000000;-1002.219646;-;-;-;-691.405024;-687.876439;-;
1;2;0.500000;-1002.084445;-;-;-;-691.405024;-688.000506;-;
1;2;2.000000;-1003.036744;-;-;-;-691.405024;-687.126627;-;
1;2;5.000000;-1004.039038;-;-;-;-691.405024;-686.206870;-;
1;2;10.000000;-1004.346414;-;-;-;-691.405024;-685.924806;-;
1;3;0.500000;-1001.349079;-;-;-;-691.405024;-688.675316;-;
1;3;2.000000;-1000.301254;-;-;-;-691.405024;-689.636854;-;
1;3;5.000000;-998.996407;-;-;-;-691.405024;-690.834250;-;
1;3;10.000000;-998.446437;-;-;-;-691.405024;-691.338931;-;
1;4;2.000000;-1003.198600;-;-;-;-691.405024;-686.978100;-;
1;4;5.000000;-1004.267799;-;-;-;-691.405024;-685.996948;-;
1;4;10.000000;-1004.367018;-;-;-;-691.405024;-685.905900;-;
1;5;2.000000;-1000.242040;-;-;-;-691.405024;-689.691192;-;
1;5;5.000000;-998.699231;-;-;-;-691.405024;-691.106953;-;
1;5;10.000000;-998.392038;-;-;-;-691.405024;-691.388850;-;
2;0;0/0.000000;-1002.995533;0.000015;0.394945;1.000041;-691.405024;-686.955400;0.000013;
2;1;-1/1.000000;-1002.995533;0.000015;0.394945;1.000041;-691.405024;-686.955400;0.000013;
2;2;-1/0.500000;-1003.000948;0.000015;0.394359;1.000144;-691.405024;-686.955805;0.000014;
2;2;-1/2.000000;-1003.008883;0.000014;0.397401;1.000160;-691.405024;-686.950171;0.000013;
2;2;-1/5.000000;-1003.020056;0.000014;0.395734;1.000032;-691.405024;-686.943822;0.000013;
2;2;-1/10.000000;-1003.047861;0.000013;0.405930;1.000148;-691.405024;-686.931784;0.000011;
2;2;-1/20.000000;-1003.093880;0.000011;0.393650;1.000113;-691.405024;-686.909115;0.000010;
2;2;-1/40.000000;-1003.173318;0.000008;0.382944;1.000183;-691.405024;-686.872800;0.000008;
2;2;-1/80.000000;-1003.296890;0.000005;0.304011;1.000272;-691.405024;-686.822847;0.000006;
2;3;-1/1.000000;-1003.061978;0.000012;0.389063;1.000094;-691.405024;-686.922793;0.000011;
2;3;-1/2.000000;-1003.068978;0.000012;0.398899;1.000055;-691.405024;-686.919734;0.000011;
2;3;-1/5.000000;-1003.084528;0.000011;0.394618;1.000041;-691.405024;-686.913810;0.000010;
2;3;-1/10.000000;-1003.113738;0.000010;0.400081;1.000101;-691.405024;-686.899434;0.000009;
2;3;-1/20.000000;-1003.167598;0.000008;0.401289;1.000248;-691.405024;-686.876203;0.000008;
2;4;-1/1.000000;-1003.004836;0.000014;0.402994;1.000023;-691.405024;-686.953055;0.000013;
2;4;-1/2.000000;-1002.999352;0.000015;0.386154;1.000122;-691.405024;-686.953090;0.000014;
2;4;-1/5.000000;-1002.998254;0.000015;0.388111;1.000136;-691.405024;-686.954504;0.000014;
2;4;-1/10.000000;-1002.998474;0.000015;0.396262;1.000077;-691.405024;-686.954755;0.000013;
2;4;-1/20.000000;-1002.995241;0.000015;0.398909;1.000145;-691.405024;-686.955438;0.000013;

