FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-347.994495;-347.994495;-;
0;-;0.300000;-1000.172723;-;-;-;-347.994495;-347.041930;-;
0;-;0.500000;-1001.371578;-;-;-;-347.994495;-346.406887;-;
0;-;0.700000;-1002.570434;-;-;-;-347.994495;-345.771844;-;
0;-;1.000000;-1004.368717;-;-;-;-347.994495;-344.819278;-;
1;0;0.000000;-1000.822405;-;-;-;-347.994495;-346.697788;-;
1;1;0.500000;-1001.302944;-;-;-;-347.994495;-346.443243;-;
1;1;2.000000;-1001.097757;-;-;-;-347.994495;-346.551932;-;
1;1;5.000000;-1000.696870;-;-;-;-347.994495;-346.764286;-;
1;1;10.000000;-1000.087248;-;-;-;-347.994495;-347.087207;-;
1;2;0.500000;-1001.188147;-;-;-;-347.994495;-346.504052;-;
1;2;2.000000;-1002.243755;-;-;-;-347.994495;-345.944888;-;
1;2;5.000000;-1003.626169;-;-;-;-347.994495;-345.212612;-;
1;2;10.000000;-1004.268024;-;-;-;-347.994495;-344.872616;-;
1;3;0.500000;-1000.467642;-;-;-;-347.994495;-346.885709;-;
1;3;2.000000;-999.559561;-;-;-;-347.994495;-347.366727;-;
1;3;5.000000;-998.647101;-;-;-;-347.994495;-347.850064;-;
1;3;10.000000;-998.390326;-;-;-;-347.994495;-347.986080;-;
1;4;2.000000;-1002.270662;-;-;-;-347.994495;-345.930635;-;
1;4;5.000000;-1003.934269;-;-;-;-347.994495;-345.049409;-;
1;4;10.000000;-1004.337229;-;-;-;-347.994495;-344.835958;-;
1;5;2.000000;-999.374149;-;-;-;-347.994495;-347.464941;-;
1;5;5.000000;-998.442529;-;-;-;-347.994495;-347.958428;-;
1;5;10.000000;-998.375213;-;-;-;-347.994495;-347.994086;-;
2;0;0/0.000000;-1002.995533;0.000015;0.394945;1.000041;-347.994495;-345.011931;0.000005;
2;1;-1/1.000000;-1002.982242;0.000015;0.397589;1.000155;-347.994495;-345.015473;0.000006;
2;2;-1/0.500000;-1002.992877;0.000015;0.391765;1.000103;-347.994495;-345.011477;0.000006;
2;2;-1/2.000000;-1002.982057;0.000015;0.395006;1.000109;-347.994495;-345.017430;0.000005;
2;2;-1/5.000000;-1002.951823;0.000018;0.372547;1.000046;-347.994495;-345.028957;0.000007;
2;2;-1/10.000000;-1002.911992;0.000019;0.365192;1.000088;-347.994495;-345.043913;0.000007;
2;2;-1/20.000000;-1002.804693;0.000027;0.320247;1.000157;-347.994495;-345.088168;0.000010;
2;2;-1/40.000000;-1002.537842;0.000046;0.221689;1.000109;-347.994495;-345.208138;0.000021;
2;2;-1/80.000000;-1001.815756;0.000113;0.117084;1.000910;-347.994495;-345.589260;0.000070;
2;3;-1/1.000000;-1002.759659;0.000023;0.328174;1.000125;-347.994495;-345.103565;0.000010;
2;3;-1/2.000000;-1002.723932;0.000022;0.327293;1.000102;-347.994495;-345.119322;0.000010;
2;3;-1/5.000000;-1002.606814;0.000026;0.289185;1.000223;-347.994495;-345.166852;0.000013;
2;3;-1/10.000000;-1002.412568;0.000032;0.240934;1.000377;-347.994495;-345.255235;0.000018;
2;3;-1/20.000000;-1002.037174;0.000043;0.171251;1.000388;-347.994495;-345.444984;0.000033;
2;4;-1/1.000000;-1002.960326;0.000016;0.382258;1.000107;-347.994495;-345.026021;0.000006;
2;4;-1/2.000000;-1002.980135;0.000015;0.396856;1.000179;-347.994495;-345.017138;0.000006;
2;4;-1/5.000000;-1002.988005;0.000017;0.376680;1.000080;-347.994495;-345.013891;0.000006;
2;4;-1/10.000000;-1002.994201;0.000014;0.407554;1.000106;-347.994495;-345.011688;0.000005;
2;4;-1/20.000000;-1002.993998;0.000015;0.384594;1.000122;-347.994495;-345.012439;0.000005;

