FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-174.692605;-;-;-;-88.617734;-86.840974;-;
0;-;0.300000;-183.646504;-;-;-;-88.617734;-86.840974;-;
0;-;0.500000;-189.615769;-;-;-;-88.617734;-86.840974;-;
0;-;0.700000;-195.585035;-;-;-;-88.617734;-86.840974;-;
0;-;1.000000;-204.538934;-;-;-;-88.617734;-86.840974;-;
1;0;0.000000;-189.578769;-;-;-;-88.617734;-86.840974;-;
1;1;0.500000;-189.611144;-;-;-;-88.617734;-86.840974;-;
1;1;2.000000;-189.597269;-;-;-;-88.617734;-86.840974;-;
1;1;5.000000;-189.569519;-;-;-;-88.617734;-86.840974;-;
1;1;10.000000;-189.523269;-;-;-;-88.617734;-86.840974;-;
1;2;0.500000;-191.434880;-;-;-;-88.617734;-86.840974;-;
1;2;2.000000;-196.480496;-;-;-;-88.617734;-86.840974;-;
1;2;5.000000;-202.259510;-;-;-;-88.617734;-86.840974;-;
1;2;10.000000;-204.336669;-;-;-;-88.617734;-86.840974;-;
1;3;0.500000;-187.723422;-;-;-;-88.617734;-86.840974;-;
1;3;2.000000;-182.688073;-;-;-;-88.617734;-86.840974;-;
1;3;5.000000;-176.941451;-;-;-;-88.617734;-86.840974;-;
1;3;10.000000;-174.889884;-;-;-;-88.617734;-86.840974;-;
1;4;2.000000;-197.040305;-;-;-;-88.617734;-86.840974;-;
1;4;5.000000;-203.594616;-;-;-;-88.617734;-86.840974;-;
1;4;10.000000;-204.509057;-;-;-;-88.617734;-86.840974;-;
1;5;2.000000;-182.117232;-;-;-;-88.617734;-86.840974;-;
1;5;5.000000;-175.613797;-;-;-;-88.617734;-86.840974;-;
1;5;10.000000;-174.721037;-;-;-;-88.617734;-86.840974;-;
2;0;0/0.000000;-190.454974;0.001377;0.006137;1.010657;-88.617734;-86.852042;0.000000;
2;1;-1/1.000000;-190.454974;0.001377;0.006137;1.010657;-88.617734;-86.852042;0.000000;
2;2;-1/0.500000;-190.448907;0.001271;0.013319;1.008931;-88.617734;-86.852442;0.000000;
2;2;-1/2.000000;-190.458632;0.001338;0.009222;1.009021;-88.617734;-86.852320;0.000000;
2;2;-1/5.000000;-190.485534;0.001317;0.010816;1.006249;-88.617734;-86.851913;0.000000;
2;2;-1/10.000000;-190.498757;0.001747;0.005951;1.005858;-88.617734;-86.852241;0.000000;
2;2;-1/20.000000;-190.487989;0.001264;0.007279;1.006712;-88.617734;-86.852385;0.000000;
2;2;-1/40.000000;-190.496197;0.001415;0.010713;1.006149;-88.617734;-86.851997;0.000000;
2;2;-1/80.000000;-190.492821;0.001251;0.005767;1.012252;-88.617734;-86.852199;0.000000;
2;3;-1/1.000000;-190.407718;0.001400;0.011342;1.008054;-88.617734;-86.852295;0.000000;
2;3;-1/2.000000;-190.359857;0.001256;0.007447;1.006703;-88.617734;-86.852433;0.000000;
2;3;-1/5.000000;-190.353212;0.001426;0.007140;1.010121;-88.617734;-86.852051;0.000000;
2;3;-1/10.000000;-190.407288;0.001293;0.013023;1.011829;-88.617734;-86.852158;0.000000;
2;3;-1/20.000000;-190.354303;0.001272;0.008939;1.006452;-88.617734;-86.852045;0.000000;
2;4;-1/1.000000;-190.475566;0.001250;0.008368;1.005054;-88.617734;-86.852252;0.000000;
2;4;-1/2.000000;-190.529157;0.001466;0.008626;1.013053;-88.617734;-86.852241;0.000000;
2;4;-1/5.000000;-190.474926;0.001435;0.009809;1.008246;-88.617734;-86.851922;0.000000;
2;4;-1/10.000000;-190.507402;0.001446;0.010392;1.007439;-88.617734;-86.852197;0.000000;
2;4;-1/20.000000;-190.457392;0.001521;0.011350;1.006391;-88.617734;-86.852269;0.000000;

