FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-340.569281;-339.784138;-;
0;-;0.300000;-1000.172723;-;-;-;-340.569281;-338.871299;-;
0;-;0.500000;-1001.371578;-;-;-;-340.569281;-338.262740;-;
0;-;0.700000;-1002.570434;-;-;-;-340.569281;-337.654180;-;
0;-;1.000000;-1004.368717;-;-;-;-340.569281;-336.741341;-;
1;0;0.000000;-1000.708484;-;-;-;-340.569281;-338.599338;-;
1;1;0.500000;-1001.288713;-;-;-;-340.569281;-338.304804;-;
1;1;2.000000;-1001.041377;-;-;-;-340.569281;-338.430356;-;
1;1;5.000000;-1000.563215;-;-;-;-340.569281;-338.673079;-;
1;1;10.000000;-999.864484;-;-;-;-340.569281;-339.027767;-;
1;2;0.500000;-1001.069557;-;-;-;-340.569281;-338.416051;-;
1;2;2.000000;-1002.125082;-;-;-;-340.569281;-337.880248;-;
1;2;5.000000;-1003.548093;-;-;-;-340.569281;-337.157904;-;
1;2;10.000000;-1004.246892;-;-;-;-340.569281;-336.803182;-;
1;3;0.500000;-1000.360457;-;-;-;-340.569281;-338.776002;-;
1;3;2.000000;-999.480368;-;-;-;-340.569281;-339.222750;-;
1;3;5.000000;-998.618699;-;-;-;-340.569281;-339.660148;-;
1;3;10.000000;-998.387529;-;-;-;-340.569281;-339.777494;-;
1;4;2.000000;-1002.133701;-;-;-;-340.569281;-337.875873;-;
1;4;5.000000;-1003.859859;-;-;-;-340.569281;-336.999646;-;
1;4;10.000000;-1004.325519;-;-;-;-340.569281;-336.763269;-;
1;5;2.000000;-999.283267;-;-;-;-340.569281;-339.322802;-;
1;5;5.000000;-998.428093;-;-;-;-340.569281;-339.756903;-;
1;5;10.000000;-998.374920;-;-;-;-340.569281;-339.783895;-;
2;0;0/0.000000;-1002.995533;0.000015;0.394945;1.000041;-340.569281;-338.800195;0.000004;
2;1;-1/1.000000;-1002.978626;0.000015;0.391152;1.000068;-340.569281;-338.810518;0.000005;
2;2;-1/0.500000;-1002.990184;0.000015;0.403626;1.000075;-340.569281;-338.802930;0.000005;
2;2;-1/2.000000;-1002.976628;0.000016;0.390221;1.000125;-340.569281;-338.807897;0.000004;
2;2;-1/5.000000;-1002.945957;0.000018;0.358489;1.000140;-340.569281;-338.818383;0.000005;
2;2;-1/10.000000;-1002.883178;0.000021;0.344039;1.000114;-340.569281;-338.839504;0.000005;
2;2;-1/20.000000;-1002.754084;0.000027;0.308249;1.000266;-340.569281;-338.882465;0.000005;
2;2;-1/40.000000;-1002.415771;0.000058;0.197297;1.000298;-340.569281;-338.986362;0.000006;
2;2;-1/80.000000;-1001.472928;0.000145;0.092509;1.001106;-340.569281;-339.228060;0.000007;
2;3;-1/1.000000;-1002.752817;0.000022;0.330635;1.000172;-340.569281;-338.886450;0.000004;
2;3;-1/2.000000;-1002.709041;0.000023;0.310749;1.000086;-340.569281;-338.900961;0.000004;
2;3;-1/5.000000;-1002.567190;0.000027;0.294611;1.000102;-340.569281;-338.945864;0.000004;
2;3;-1/10.000000;-1002.332768;0.000033;0.235886;1.000345;-340.569281;-339.017160;0.000004;
2;3;-1/20.000000;-1001.897036;0.000047;0.148651;1.000840;-340.569281;-339.137327;0.000004;
2;4;-1/1.000000;-1002.955100;0.000016;0.398988;1.000059;-340.569281;-338.814242;0.000004;
2;4;-1/2.000000;-1002.976840;0.000015;0.392146;1.000143;-340.569281;-338.807122;0.000004;
2;4;-1/5.000000;-1002.986424;0.000015;0.414334;1.000028;-340.569281;-338.804045;0.000004;
2;4;-1/10.000000;-1002.991598;0.000015;0.392457;1.000071;-340.569281;-338.802317;0.000004;
2;4;-1/20.000000;-1002.990244;0.000017;0.373358;1.000076;-340.569281;-338.802709;0.000005;

