FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-168.971314;-;-;-;-160.000000;-155.849900;-;
0;-;0.300000;-359.043556;-;-;-;-160.000000;-157.094930;-;
0;-;0.500000;-485.758384;-;-;-;-160.000000;-157.924950;-;
0;-;0.700000;-612.473212;-;-;-;-160.000000;-158.754970;-;
0;-;1.000000;-802.545455;-;-;-;-160.000000;-160.000000;-;
1;0;0.000000;-413.234976;-;-;-;-160.000000;-157.449900;-;
1;1;0.500000;-476.695432;-;-;-;-160.000000;-157.865585;-;
1;1;2.000000;-449.654230;-;-;-;-160.000000;-157.688457;-;
1;1;5.000000;-397.500284;-;-;-;-160.000000;-157.346833;-;
1;1;10.000000;-321.956504;-;-;-;-160.000000;-156.851999;-;
1;2;0.500000;-451.284703;-;-;-;-160.000000;-157.699137;-;
1;2;2.000000;-562.804327;-;-;-;-160.000000;-158.429624;-;
1;2;5.000000;-714.040921;-;-;-;-160.000000;-159.420269;-;
1;2;10.000000;-789.162974;-;-;-;-160.000000;-159.912341;-;
1;3;0.500000;-376.606827;-;-;-;-160.000000;-157.209975;-;
1;3;2.000000;-284.208530;-;-;-;-160.000000;-156.604738;-;
1;3;5.000000;-194.215047;-;-;-;-160.000000;-156.015254;-;
1;3;10.000000;-170.301552;-;-;-;-160.000000;-155.858613;-;
1;4;2.000000;-563.326966;-;-;-;-160.000000;-158.433047;-;
1;4;5.000000;-747.045747;-;-;-;-160.000000;-159.636460;-;
1;4;10.000000;-797.683802;-;-;-;-160.000000;-159.968155;-;
1;5;2.000000;-263.142987;-;-;-;-160.000000;-156.466753;-;
1;5;5.000000;-174.367719;-;-;-;-160.000000;-155.885248;-;
1;5;10.000000;-169.017278;-;-;-;-160.000000;-155.850201;-;
2;0;0/0.000000;-440.548640;0.491352;0.840424;1.000166;-160.000000;-156.892171;0.000017;
2;1;-1/1.000000;-428.329077;0.469410;0.840361;1.000172;-160.000000;-156.891922;0.000017;
2;2;-1/0.500000;-436.937785;0.486581;0.840449;1.000167;-160.000000;-156.892069;0.000017;
2;2;-1/2.000000;-426.333271;0.470895;0.840350;1.000168;-160.000000;-156.891793;0.000017;
2;2;-1/5.000000;-406.296313;0.434967;0.840316;1.000169;-160.000000;-156.891288;0.000017;
2;2;-1/10.000000;-376.801889;0.369231;0.840177;1.000166;-160.000000;-156.890392;0.000017;
2;2;-1/20.000000;-332.159302;0.251078;0.839869;1.000152;-160.000000;-156.888841;0.000017;
2;2;-1/40.000000;-281.370040;0.122871;0.839377;1.000137;-160.000000;-156.885855;0.000017;
2;2;-1/80.000000;-237.386378;0.048140;0.838392;1.000140;-160.000000;-156.879929;0.000017;
2;3;-1/1.000000;-376.484569;0.324432;0.840233;1.000178;-160.000000;-156.890509;0.000017;
2;3;-1/2.000000;-368.369489;0.302085;0.840180;1.000176;-160.000000;-156.890311;0.000017;
2;3;-1/5.000000;-348.214115;0.247655;0.840044;1.000172;-160.000000;-156.889734;0.000017;
2;3;-1/10.000000;-323.915807;0.186709;0.839860;1.000163;-160.000000;-156.888850;0.000017;
2;3;-1/20.000000;-293.124129;0.121532;0.839590;1.000142;-160.000000;-156.887184;0.000017;
2;4;-1/1.000000;-425.041241;0.453940;0.840423;1.000172;-160.000000;-156.891734;0.000017;
2;4;-1/2.000000;-432.525109;0.472339;0.840438;1.000170;-160.000000;-156.891929;0.000017;
2;4;-1/5.000000;-437.271677;0.483688;0.840458;1.000168;-160.000000;-156.892066;0.000017;
2;4;-1/10.000000;-438.898449;0.487511;0.840443;1.000167;-160.000000;-156.892109;0.000017;
2;4;-1/20.000000;-439.720509;0.489429;0.840430;1.000167;-160.000000;-156.892133;0.000017;

