FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-388.142857;-;-;-;-35.714286;-35.714286;-;
0;-;0.300000;-504.456057;-;-;-;-35.714286;-35.044773;-;
0;-;0.500000;-581.998190;-;-;-;-35.714286;-34.598431;-;
0;-;0.700000;-659.540323;-;-;-;-35.714286;-34.152089;-;
0;-;1.000000;-775.853523;-;-;-;-35.714286;-33.482576;-;
1;0;0.000000;-450.188596;-;-;-;-35.714286;-35.357143;-;
1;1;0.500000;-565.561549;-;-;-;-35.714286;-34.693042;-;
1;1;2.000000;-518.520321;-;-;-;-35.714286;-34.963817;-;
1;1;5.000000;-448.038545;-;-;-;-35.714286;-35.369519;-;
1;1;10.000000;-400.667914;-;-;-;-35.714286;-35.642190;-;
1;2;0.500000;-463.915383;-;-;-;-35.714286;-35.278130;-;
1;2;2.000000;-510.956256;-;-;-;-35.714286;-35.007357;-;
1;2;5.000000;-603.119421;-;-;-;-35.714286;-34.476854;-;
1;2;10.000000;-697.614428;-;-;-;-35.714286;-33.932930;-;
1;3;0.500000;-437.929727;-;-;-;-35.714286;-35.427706;-;
1;3;2.000000;-411.033499;-;-;-;-35.714286;-35.582524;-;
1;3;5.000000;-391.367055;-;-;-;-35.714286;-35.695727;-;
1;3;10.000000;-388.212469;-;-;-;-35.714286;-35.713885;-;
1;4;2.000000;-502.305090;-;-;-;-35.714286;-35.057154;-;
1;4;5.000000;-613.738242;-;-;-;-35.714286;-34.415731;-;
1;4;10.000000;-708.067499;-;-;-;-35.714286;-33.872760;-;
1;5;2.000000;-398.072101;-;-;-;-35.714286;-35.657132;-;
1;5;5.000000;-388.183551;-;-;-;-35.714286;-35.714051;-;
1;5;10.000000;-388.142861;-;-;-;-35.714286;-35.714286;-;
2;0;0/0.000000;-582.731601;0.309016;0.954086;1.000160;-35.714286;-33.933223;0.000003;
2;1;-1/1.000000;-539.971606;0.262848;0.953751;1.000159;-35.714286;-33.933147;0.000003;
2;2;-1/0.500000;-572.097746;0.307422;0.954109;1.000160;-35.714286;-33.933404;0.000003;
2;2;-1/2.000000;-541.332831;0.283590;0.953912;1.000160;-35.714286;-33.933946;0.000003;
2;2;-1/5.000000;-491.815925;0.190864;0.953724;1.000160;-35.714286;-33.935132;0.000003;
2;2;-1/10.000000;-447.944488;0.077278;0.953792;1.000161;-35.714286;-33.937127;0.000003;
2;2;-1/20.000000;-419.756805;0.020303;0.953882;1.000163;-35.714286;-33.941133;0.000003;
2;2;-1/40.000000;-405.433187;0.005085;0.954034;1.000165;-35.714286;-33.949274;0.000004;
2;2;-1/80.000000;-398.248371;0.001280;0.954598;1.000170;-35.714286;-33.966131;0.000004;
2;3;-1/1.000000;-495.978427;0.158406;0.953735;1.000160;-35.714286;-33.934727;0.000003;
2;3;-1/2.000000;-479.656384;0.123446;0.953756;1.000160;-35.714286;-33.935127;0.000003;
2;3;-1/5.000000;-451.469108;0.066548;0.953771;1.000160;-35.714286;-33.936331;0.000003;
2;3;-1/10.000000;-430.546089;0.031613;0.953872;1.000162;-35.714286;-33.938340;0.000003;
2;3;-1/20.000000;-414.400510;0.011960;0.953918;1.000163;-35.714286;-33.942389;0.000004;
2;4;-1/1.000000;-534.936396;0.238047;0.953751;1.000159;-35.714286;-33.934115;0.000003;
2;4;-1/2.000000;-555.606270;0.273759;0.953751;1.000159;-35.714286;-33.933815;0.000003;
2;4;-1/5.000000;-570.963732;0.295588;0.953985;1.000159;-35.714286;-33.933510;0.000003;
2;4;-1/10.000000;-576.682473;0.302497;0.954114;1.000160;-35.714286;-33.933386;0.000003;
2;4;-1/20.000000;-579.664628;0.305815;0.954124;1.000160;-35.714286;-33.933310;0.000003;

