FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-259.549203;-259.549203;-;
0;-;0.300000;-1000.172723;-;-;-;-259.549203;-258.973006;-;
0;-;0.500000;-1001.371578;-;-;-;-259.549203;-258.588874;-;
0;-;0.700000;-1002.570434;-;-;-;-259.549203;-258.204743;-;
0;-;1.000000;-1004.368717;-;-;-;-259.549203;-257.628546;-;
1;0;0.000000;-1000.661869;-;-;-;-259.549203;-258.816276;-;
1;1;0.500000;-1001.282890;-;-;-;-259.549203;-258.617291;-;
1;1;2.000000;-1001.018373;-;-;-;-259.549203;-258.702047;-;
1;1;5.000000;-1000.509474;-;-;-;-259.549203;-258.865106;-;
1;1;10.000000;-999.779126;-;-;-;-259.549203;-259.099121;-;
1;2;0.500000;-1001.020706;-;-;-;-259.549203;-258.701299;-;
1;2;2.000000;-1002.075208;-;-;-;-259.549203;-258.363421;-;
1;2;5.000000;-1003.513945;-;-;-;-259.549203;-257.902428;-;
1;2;10.000000;-1004.237018;-;-;-;-259.549203;-257.670744;-;
1;3;0.500000;-1000.316891;-;-;-;-259.549203;-258.926812;-;
1;3;2.000000;-999.448821;-;-;-;-259.549203;-259.204955;-;
1;3;5.000000;-998.607833;-;-;-;-259.549203;-259.474421;-;
1;3;10.000000;-998.386530;-;-;-;-259.549203;-259.545330;-;
1;4;2.000000;-1002.076411;-;-;-;-259.549203;-258.363035;-;
1;4;5.000000;-1003.826621;-;-;-;-259.549203;-257.802241;-;
1;4;10.000000;-1004.319692;-;-;-;-259.549203;-257.644254;-;
1;5;2.000000;-999.247328;-;-;-;-259.549203;-259.269517;-;
1;5;5.000000;-998.422945;-;-;-;-259.549203;-259.533661;-;
1;5;10.000000;-998.374832;-;-;-;-259.549203;-259.549078;-;
2;0;0/0.000000;-1002.995533;0.000015;0.394945;1.000041;-259.549203;-257.839949;0.000004;
2;1;-1/1.000000;-1002.978975;0.000016;0.403930;1.000034;-259.549203;-257.838493;0.000004;
2;2;-1/0.500000;-1002.991018;0.000016;0.383354;1.000025;-259.549203;-257.841224;0.000004;
2;2;-1/2.000000;-1002.975550;0.000015;0.402582;1.000137;-259.549203;-257.843272;0.000004;
2;2;-1/5.000000;-1002.937166;0.000018;0.371878;1.000093;-259.549203;-257.844558;0.000004;
2;2;-1/10.000000;-1002.877793;0.000021;0.360801;1.000201;-259.549203;-257.851861;0.000005;
2;2;-1/20.000000;-1002.733495;0.000029;0.301727;1.000238;-259.549203;-257.872093;0.000007;
2;2;-1/40.000000;-1002.362609;0.000060;0.194466;1.000188;-259.549203;-257.941712;0.000015;
2;2;-1/80.000000;-1001.331760;0.000152;0.083887;1.001145;-259.549203;-258.236749;0.000059;
2;3;-1/1.000000;-1002.745507;0.000025;0.320240;1.000074;-259.549203;-257.863357;0.000006;
2;3;-1/2.000000;-1002.699152;0.000023;0.330260;1.000153;-259.549203;-257.869307;0.000007;
2;3;-1/5.000000;-1002.551126;0.000029;0.275085;1.000297;-259.549203;-257.891196;0.000009;
2;3;-1/10.000000;-1002.302522;0.000034;0.225235;1.000409;-259.549203;-257.935070;0.000013;
2;3;-1/20.000000;-1001.845313;0.000048;0.149382;1.000434;-259.549203;-258.046726;0.000027;
2;4;-1/1.000000;-1002.950772;0.000016;0.405661;1.000068;-259.549203;-257.844323;0.000004;
2;4;-1/2.000000;-1002.974295;0.000016;0.371144;1.000234;-259.549203;-257.841922;0.000004;
2;4;-1/5.000000;-1002.989824;0.000015;0.386618;1.000038;-259.549203;-257.839736;0.000004;
2;4;-1/10.000000;-1002.991633;0.000015;0.394596;1.000127;-259.549203;-257.841627;0.000004;
2;4;-1/20.000000;-1002.992687;0.000015;0.405481;1.000205;-259.549203;-257.838752;0.000004;

