FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-147.556396;-;-;-;-52.781421;-51.254401;-;
0;-;0.300000;-157.805417;-;-;-;-52.781421;-51.254401;-;
0;-;0.500000;-164.638097;-;-;-;-52.781421;-51.254401;-;
0;-;0.700000;-171.470777;-;-;-;-52.781421;-51.254401;-;
0;-;1.000000;-181.719798;-;-;-;-52.781421;-51.254401;-;
1;0;0.000000;-159.364970;-;-;-;-52.781421;-51.254401;-;
1;1;0.500000;-163.979283;-;-;-;-52.781421;-51.254401;-;
1;1;2.000000;-162.022274;-;-;-;-52.781421;-51.254401;-;
1;1;5.000000;-158.355464;-;-;-;-52.781421;-51.254401;-;
1;1;10.000000;-153.570071;-;-;-;-52.781421;-51.254401;-;
1;2;0.500000;-161.337007;-;-;-;-52.781421;-51.254401;-;
1;2;2.000000;-167.275153;-;-;-;-52.781421;-51.254401;-;
1;2;5.000000;-175.843140;-;-;-;-52.781421;-51.254401;-;
1;2;10.000000;-180.643786;-;-;-;-52.781421;-51.254401;-;
1;3;0.500000;-157.491631;-;-;-;-52.781421;-51.254401;-;
1;3;2.000000;-152.883832;-;-;-;-52.781421;-51.254401;-;
1;3;5.000000;-148.629594;-;-;-;-52.781421;-51.254401;-;
1;3;10.000000;-147.604024;-;-;-;-52.781421;-51.254401;-;
1;4;2.000000;-167.091913;-;-;-;-52.781421;-51.254401;-;
1;4;5.000000;-177.621418;-;-;-;-52.781421;-51.254401;-;
1;4;10.000000;-181.228139;-;-;-;-52.781421;-51.254401;-;
1;5;2.000000;-151.638028;-;-;-;-52.781421;-51.254401;-;
1;5;5.000000;-147.724952;-;-;-;-52.781421;-51.254401;-;
1;5;10.000000;-147.557228;-;-;-;-52.781421;-51.254401;-;
2;0;0/0.000000;-177.335268;0.001377;0.024591;1.001151;-52.781421;-51.278733;0.000000;
2;1;-1/1.000000;-177.335268;0.001377;0.024591;1.001151;-52.781421;-51.278733;0.000000;
2;2;-1/0.500000;-177.326182;0.001301;0.027800;1.002576;-52.781421;-51.278815;0.000000;
2;2;-1/2.000000;-177.336144;0.001087;0.027952;1.002474;-52.781421;-51.278951;0.000000;
2;2;-1/5.000000;-177.256838;0.001512;0.025698;1.001992;-52.781421;-51.278757;0.000000;
2;2;-1/10.000000;-177.163668;0.002550;0.019136;1.001265;-52.781421;-51.278686;0.000000;
2;2;-1/20.000000;-177.050097;0.002366;0.020656;1.002478;-52.781421;-51.278702;0.000000;
2;2;-1/40.000000;-176.465722;0.009295;0.010784;1.002055;-52.781421;-51.278182;0.000000;
2;2;-1/80.000000;-173.409646;0.148207;0.002910;1.011466;-52.781421;-51.276987;0.000000;
2;3;-1/1.000000;-176.897150;0.002828;0.019136;1.001365;-52.781421;-51.278653;0.000000;
2;3;-1/2.000000;-176.750522;0.003069;0.020026;1.002320;-52.781421;-51.278616;0.000000;
2;3;-1/5.000000;-176.244628;0.006553;0.012740;1.001359;-52.781421;-51.278201;0.000000;
2;3;-1/10.000000;-175.214588;0.012591;0.010258;1.002091;-52.781421;-51.277819;0.000000;
2;3;-1/20.000000;-172.464758;0.047452;0.005212;1.006812;-52.781421;-51.276739;0.000000;
2;4;-1/1.000000;-177.231468;0.001941;0.022424;1.002649;-52.781421;-51.278496;0.000000;
2;4;-1/2.000000;-177.289373;0.001701;0.022789;1.001260;-52.781421;-51.278595;0.000000;
2;4;-1/5.000000;-177.324818;0.001321;0.026630;1.002801;-52.781421;-51.278772;0.000000;
2;4;-1/10.000000;-177.361870;0.000995;0.029554;1.003564;-52.781421;-51.278865;0.000000;
2;4;-1/20.000000;-177.339308;0.001392;0.023364;1.002122;-52.781421;-51.278537;0.000000;

