FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-523.159828;-;-;-;-311.600000;-308.142000;-;
0;-;0.300000;-595.291879;-;-;-;-311.600000;-309.179400;-;
0;-;0.500000;-643.379914;-;-;-;-311.600000;-309.871000;-;
0;-;0.700000;-691.467948;-;-;-;-311.600000;-310.562600;-;
0;-;1.000000;-763.600000;-;-;-;-311.600000;-311.600000;-;
1;0;0.000000;-739.820203;-;-;-;-311.600000;-311.258000;-;
1;1;0.500000;-655.394707;-;-;-;-311.600000;-310.043796;-;
1;1;2.000000;-689.170402;-;-;-;-311.600000;-310.529557;-;
1;1;5.000000;-735.077246;-;-;-;-311.600000;-311.189787;-;
1;1;10.000000;-759.321815;-;-;-;-311.600000;-311.538471;-;
1;2;0.500000;-744.811059;-;-;-;-311.600000;-311.329778;-;
1;2;2.000000;-755.368833;-;-;-;-311.600000;-311.481620;-;
1;2;5.000000;-762.556630;-;-;-;-311.600000;-311.584994;-;
1;2;10.000000;-763.581567;-;-;-;-311.600000;-311.599735;-;
1;3;0.500000;-734.116879;-;-;-;-311.600000;-311.175975;-;
1;3;2.000000;-713.694780;-;-;-;-311.600000;-310.882265;-;
1;3;5.000000;-669.161334;-;-;-;-311.600000;-310.241787;-;
1;3;10.000000;-612.583339;-;-;-;-311.600000;-309.428085;-;
1;4;2.000000;-761.248152;-;-;-;-311.600000;-311.566176;-;
1;4;5.000000;-763.597725;-;-;-;-311.600000;-311.599967;-;
1;4;10.000000;-763.600000;-;-;-;-311.600000;-311.600000;-;
1;5;2.000000;-718.392254;-;-;-;-311.600000;-310.949824;-;
1;5;5.000000;-666.006238;-;-;-;-311.600000;-310.196411;-;
1;5;10.000000;-608.025417;-;-;-;-311.600000;-309.362533;-;
2;0;0/0.000000;-652.475580;0.157033;0.009765;1.005654;-311.600000;-308.858003;0.000069;
2;1;-1/1.000000;-673.561054;0.091596;0.010322;1.005596;-311.600000;-308.867544;0.000066;
2;2;-1/0.500000;-658.039972;0.153762;0.009934;1.005644;-311.600000;-308.860614;0.000068;
2;2;-1/2.000000;-674.136417;0.139059;0.010313;1.005624;-311.600000;-308.868168;0.000066;
2;2;-1/5.000000;-700.095591;0.100521;0.011282;1.005240;-311.600000;-308.884107;0.000060;
2;2;-1/10.000000;-723.339329;0.060673;0.015676;1.004557;-311.600000;-308.911503;0.000043;
2;2;-1/20.000000;-739.013388;0.028927;0.021772;1.003555;-311.600000;-308.962871;0.000029;
2;2;-1/40.000000;-747.992660;0.011225;0.033025;1.002581;-311.600000;-309.054691;0.000022;
2;2;-1/80.000000;-753.686827;0.002140;0.116753;1.000772;-311.600000;-309.218184;0.000017;
2;3;-1/1.000000;-692.745438;0.065669;0.010850;1.005395;-311.600000;-308.876334;0.000063;
2;3;-1/2.000000;-702.883559;0.070690;0.011259;1.005219;-311.600000;-308.882413;0.000060;
2;3;-1/5.000000;-720.077238;0.053326;0.012689;1.004721;-311.600000;-308.900071;0.000045;
2;3;-1/10.000000;-732.461053;0.036794;0.017745;1.004057;-311.600000;-308.928022;0.000035;
2;3;-1/20.000000;-742.169534;0.020684;0.024447;1.003318;-311.600000;-308.979672;0.000027;
2;4;-1/1.000000;-674.033297;0.081157;0.010355;1.005577;-311.600000;-308.867862;0.000066;
2;4;-1/2.000000;-664.022261;0.098973;0.010119;1.005618;-311.600000;-308.863583;0.000067;
2;4;-1/5.000000;-657.272440;0.112019;0.009962;1.005609;-311.600000;-308.860477;0.000068;
2;4;-1/10.000000;-654.902271;0.150776;0.009867;1.005629;-311.600000;-308.859283;0.000069;
2;4;-1/20.000000;-653.695771;0.153846;0.009816;1.005642;-311.600000;-308.858653;0.000069;

