FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-368.714286;-;-;-;-53.571429;-53.571429;-;
0;-;0.300000;-476.136719;-;-;-;-53.571429;-52.901916;-;
0;-;0.500000;-547.751674;-;-;-;-53.571429;-52.455574;-;
0;-;0.700000;-619.366629;-;-;-;-53.571429;-52.009232;-;
0;-;1.000000;-726.789062;-;-;-;-53.571429;-51.339719;-;
1;0;0.000000;-454.668900;-;-;-;-53.571429;-53.035714;-;
1;1;0.500000;-536.132680;-;-;-;-53.571429;-52.527989;-;
1;1;2.000000;-502.231061;-;-;-;-53.571429;-52.739282;-;
1;1;5.000000;-445.415404;-;-;-;-53.571429;-53.093387;-;
1;1;10.000000;-393.481740;-;-;-;-53.571429;-53.417065;-;
1;2;0.500000;-471.640554;-;-;-;-53.571429;-52.929938;-;
1;2;2.000000;-526.607486;-;-;-;-53.571429;-52.587355;-;
1;2;5.000000;-620.661720;-;-;-;-53.571429;-52.001160;-;
1;2;10.000000;-694.335152;-;-;-;-53.571429;-51.541988;-;
1;3;0.500000;-439.103227;-;-;-;-53.571429;-53.132728;-;
1;3;2.000000;-403.250621;-;-;-;-53.571429;-53.356180;-;
1;3;5.000000;-374.351856;-;-;-;-53.571429;-53.536292;-;
1;3;10.000000;-368.877319;-;-;-;-53.571429;-53.570412;-;
1;4;2.000000;-519.990406;-;-;-;-53.571429;-52.628596;-;
1;4;5.000000;-636.026095;-;-;-;-53.571429;-51.905401;-;
1;4;10.000000;-703.782929;-;-;-;-53.571429;-51.483105;-;
1;5;2.000000;-389.347394;-;-;-;-53.571429;-53.442832;-;
1;5;5.000000;-368.999684;-;-;-;-53.571429;-53.569650;-;
1;5;10.000000;-368.714513;-;-;-;-53.571429;-53.571427;-;
2;0;0/0.000000;-548.332584;0.262507;0.955056;1.000157;-53.571429;-51.789812;0.000003;
2;1;-1/1.000000;-518.291487;0.239820;0.954439;1.000159;-53.571429;-51.790094;0.000003;
2;2;-1/0.500000;-540.845013;0.261738;0.955013;1.000157;-53.571429;-51.790050;0.000003;
2;2;-1/2.000000;-518.857336;0.249639;0.954458;1.000158;-53.571429;-51.790701;0.000003;
2;2;-1/5.000000;-480.382165;0.195116;0.954468;1.000160;-53.571429;-51.791838;0.000003;
2;2;-1/10.000000;-438.786151;0.100820;0.953833;1.000160;-53.571429;-51.793565;0.000003;
2;2;-1/20.000000;-406.274167;0.029551;0.954019;1.000160;-53.571429;-51.796874;0.000003;
2;2;-1/40.000000;-388.987039;0.007418;0.954185;1.000161;-53.571429;-51.803586;0.000004;
2;2;-1/80.000000;-380.318301;0.001863;0.954645;1.000164;-53.571429;-51.817382;0.000004;
2;3;-1/1.000000;-472.867592;0.143575;0.953872;1.000159;-53.571429;-51.791883;0.000003;
2;3;-1/2.000000;-459.875216;0.117868;0.953847;1.000159;-53.571429;-51.792215;0.000003;
2;3;-1/5.000000;-435.347382;0.070775;0.953862;1.000160;-53.571429;-51.793209;0.000003;
2;3;-1/10.000000;-415.184125;0.036992;0.953996;1.000160;-53.571429;-51.794870;0.000003;
2;3;-1/20.000000;-398.315590;0.015211;0.954081;1.000160;-53.571429;-51.798222;0.000003;
2;4;-1/1.000000;-512.771200;0.216580;0.953951;1.000159;-53.571429;-51.791137;0.000003;
2;4;-1/2.000000;-528.712314;0.240186;0.954371;1.000157;-53.571429;-51.790730;0.000003;
2;4;-1/5.000000;-539.986465;0.254025;0.954626;1.000158;-53.571429;-51.790288;0.000003;
2;4;-1/10.000000;-544.071938;0.258375;0.954983;1.000157;-53.571429;-51.790074;0.000003;
2;4;-1/20.000000;-546.179951;0.260472;0.955038;1.000157;-53.571429;-51.789953;0.000003;

