FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-101.862011;-;-;-;-60.143678;-58.928218;-;
0;-;0.300000;-105.754870;-;-;-;-60.143678;-58.928218;-;
0;-;0.500000;-108.350110;-;-;-;-60.143678;-58.928218;-;
0;-;0.700000;-110.945349;-;-;-;-60.143678;-58.928218;-;
0;-;1.000000;-114.838208;-;-;-;-60.143678;-58.928218;-;
1;0;0.000000;-108.282923;-;-;-;-60.143678;-58.928218;-;
1;1;0.500000;-108.341711;-;-;-;-60.143678;-58.928218;-;
1;1;2.000000;-108.316517;-;-;-;-60.143678;-58.928218;-;
1;1;5.000000;-108.266132;-;-;-;-60.143678;-58.928218;-;
1;1;10.000000;-108.182182;-;-;-;-60.143678;-58.928218;-;
1;2;0.500000;-109.090347;-;-;-;-60.143678;-58.928218;-;
1;2;2.000000;-111.290904;-;-;-;-60.143678;-58.928218;-;
1;2;5.000000;-113.825733;-;-;-;-60.143678;-58.928218;-;
1;2;10.000000;-114.746714;-;-;-;-60.143678;-58.928218;-;
1;3;0.500000;-107.476890;-;-;-;-60.143678;-58.928218;-;
1;3;2.000000;-105.294973;-;-;-;-60.143678;-58.928218;-;
1;3;5.000000;-102.818956;-;-;-;-60.143678;-58.928218;-;
1;3;10.000000;-101.944447;-;-;-;-60.143678;-58.928218;-;
1;4;2.000000;-111.526625;-;-;-;-60.143678;-58.928218;-;
1;4;5.000000;-114.411267;-;-;-;-60.143678;-58.928218;-;
1;4;10.000000;-114.824161;-;-;-;-60.143678;-58.928218;-;
1;5;2.000000;-105.039222;-;-;-;-60.143678;-58.928218;-;
1;5;5.000000;-102.246952;-;-;-;-60.143678;-58.928218;-;
1;5;10.000000;-101.873430;-;-;-;-60.143678;-58.928218;-;
2;0;0/0.000000;-111.310577;0.000028;0.002310;1.019832;-60.143678;-58.933813;0.000000;
2;1;-1/1.000000;-111.310577;0.000028;0.002310;1.019832;-60.143678;-58.933813;0.000000;
2;2;-1/0.500000;-111.309472;0.000023;0.002640;1.014071;-60.143678;-58.933843;0.000000;
2;2;-1/2.000000;-111.311841;0.000023;0.002787;1.008537;-60.143678;-58.933685;0.000000;
2;2;-1/5.000000;-111.301251;0.000049;0.002048;1.024737;-60.143678;-58.933992;0.000000;
2;2;-1/10.000000;-111.312304;0.000023;0.002836;1.015830;-60.143678;-58.933750;0.000000;
2;2;-1/20.000000;-111.308809;0.000019;0.002650;1.018645;-60.143678;-58.933641;0.000000;
2;2;-1/40.000000;-111.315070;0.000021;0.002697;1.019440;-60.143678;-58.933721;0.000000;
2;2;-1/80.000000;-111.310833;0.000021;0.002730;1.024061;-60.143678;-58.933582;0.000000;
2;3;-1/1.000000;-111.307618;0.000029;0.002633;1.020357;-60.143678;-58.933916;0.000000;
2;3;-1/2.000000;-111.308038;0.000033;0.002363;1.024662;-60.143678;-58.933718;0.000000;
2;3;-1/5.000000;-111.304949;0.000037;0.002533;1.024876;-60.143678;-58.933625;0.000000;
2;3;-1/10.000000;-111.307614;0.000023;0.002651;1.014266;-60.143678;-58.933787;0.000000;
2;3;-1/20.000000;-111.307237;0.000026;0.002531;1.020866;-60.143678;-58.933704;0.000000;
2;4;-1/1.000000;-111.308979;0.000023;0.002875;1.022480;-60.143678;-58.933926;0.000000;
2;4;-1/2.000000;-111.313777;0.000018;0.002783;1.018506;-60.143678;-58.933641;0.000000;
2;4;-1/5.000000;-111.307179;0.000024;0.002939;1.018004;-60.143678;-58.933688;0.000000;
2;4;-1/10.000000;-111.314396;0.000024;0.003042;1.028439;-60.143678;-58.933895;0.000000;
2;4;-1/20.000000;-111.313721;0.000022;0.002790;1.020036;-60.143678;-58.933746;0.000000;

