FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-1775.186387;-;-;-;-291.983320;-289.800900;-;
0;-;0.300000;-1782.358225;-;-;-;-291.983320;-289.460156;-;
0;-;0.500000;-1787.139451;-;-;-;-291.983320;-289.232994;-;
0;-;0.700000;-1791.920676;-;-;-;-291.983320;-289.005831;-;
0;-;1.000000;-1799.092514;-;-;-;-291.983320;-288.665087;-;
1;0;0.000000;-1795.212785;-;-;-;-291.983320;-288.849418;-;
1;1;0.500000;-1788.146227;-;-;-;-291.983320;-289.185160;-;
1;1;2.000000;-1791.029352;-;-;-;-291.983320;-289.048179;-;
1;1;5.000000;-1795.363954;-;-;-;-291.983320;-288.842236;-;
1;1;10.000000;-1798.303160;-;-;-;-291.983320;-288.702591;-;
1;2;0.500000;-1795.977552;-;-;-;-291.983320;-288.813083;-;
1;2;2.000000;-1797.657748;-;-;-;-291.983320;-288.733255;-;
1;2;5.000000;-1798.889611;-;-;-;-291.983320;-288.674728;-;
1;2;10.000000;-1799.088099;-;-;-;-291.983320;-288.665297;-;
1;3;0.500000;-1794.357087;-;-;-;-291.983320;-288.890074;-;
1;3;2.000000;-1791.429376;-;-;-;-291.983320;-289.029173;-;
1;3;5.000000;-1785.715671;-;-;-;-291.983320;-289.300639;-;
1;3;10.000000;-1779.902800;-;-;-;-291.983320;-289.576817;-;
1;4;2.000000;-1798.462872;-;-;-;-291.983320;-288.695002;-;
1;4;5.000000;-1799.089823;-;-;-;-291.983320;-288.665215;-;
1;4;10.000000;-1799.092514;-;-;-;-291.983320;-288.665087;-;
1;5;2.000000;-1791.962698;-;-;-;-291.983320;-289.003835;-;
1;5;5.000000;-1785.048667;-;-;-;-291.983320;-289.332330;-;
1;5;10.000000;-1779.254991;-;-;-;-291.983320;-289.607595;-;
2;0;0/0.000000;-1785.243181;0.000270;0.521200;1.000089;-291.983320;-290.257305;0.000007;
2;1;-1/1.000000;-1785.727027;0.000268;0.561068;1.000132;-291.983320;-290.216287;0.000007;
2;2;-1/0.500000;-1785.347645;0.000271;0.515877;1.000154;-291.983320;-290.248586;0.000007;
2;2;-1/2.000000;-1785.667283;0.000273;0.544325;1.000125;-291.983320;-290.221123;0.000007;
2;2;-1/5.000000;-1786.297902;0.000291;0.570210;1.000049;-291.983320;-290.164151;0.000007;
2;2;-1/10.000000;-1787.360562;0.000297;0.528131;1.000015;-291.983320;-290.064228;0.000007;
2;2;-1/20.000000;-1789.269242;0.000332;0.367887;1.000151;-291.983320;-289.881866;0.000008;
2;2;-1/40.000000;-1791.969323;0.000328;0.237534;1.000193;-291.983320;-289.617634;0.000011;
2;2;-1/80.000000;-1794.786334;0.000316;0.124079;1.000337;-291.983320;-289.291036;0.000015;
2;3;-1/1.000000;-1786.435606;0.000260;0.569457;1.000107;-291.983320;-290.152276;0.000007;
2;3;-1/2.000000;-1786.856978;0.000252;0.566182;1.000091;-291.983320;-290.113366;0.000007;
2;3;-1/5.000000;-1787.955424;0.000250;0.495568;1.000073;-291.983320;-290.008754;0.000007;
2;3;-1/10.000000;-1789.340357;0.000225;0.390457;1.000155;-291.983320;-289.873775;0.000007;
2;3;-1/20.000000;-1791.214229;0.000224;0.284490;1.000186;-291.983320;-289.695388;0.000008;
2;4;-1/1.000000;-1785.756856;0.000261;0.561906;1.000116;-291.983320;-290.213370;0.000007;
2;4;-1/2.000000;-1785.501006;0.000264;0.542523;1.000051;-291.983320;-290.236114;0.000007;
2;4;-1/5.000000;-1785.338298;0.000267;0.524397;1.000132;-291.983320;-290.250162;0.000007;
2;4;-1/10.000000;-1785.295466;0.000268;0.526874;1.000137;-291.983320;-290.253800;0.000007;
2;4;-1/20.000000;-1785.273120;0.000270;0.523159;1.000121;-291.983320;-290.255527;0.000007;

