FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-18403.080645;-;-;-;11397.370759;11398.306451;-;
0;-;0.300000;-18404.089144;-;-;-;11397.370759;11398.964516;-;
0;-;0.500000;-18404.761477;-;-;-;11397.370759;11399.403226;-;
0;-;0.700000;-18405.433809;-;-;-;11397.370759;11399.841935;-;
0;-;1.000000;-18406.442308;-;-;-;11397.370759;11400.500000;-;
1;0;0.000000;-18403.665923;-;-;-;11397.370759;11398.688356;-;
1;1;0.500000;-18404.624835;-;-;-;11397.370759;11399.314064;-;
1;1;2.000000;-18404.232303;-;-;-;11397.370759;11399.057930;-;
1;1;5.000000;-18403.631626;-;-;-;11397.370759;11398.665977;-;
1;1;10.000000;-18403.205047;-;-;-;11397.370759;11398.387626;-;
1;2;0.500000;-18403.792932;-;-;-;11397.370759;11398.771232;-;
1;2;2.000000;-18404.223849;-;-;-;11397.370759;11399.052414;-;
1;2;5.000000;-18405.047919;-;-;-;11397.370759;11399.590135;-;
1;2;10.000000;-18405.853004;-;-;-;11397.370759;11400.115468;-;
1;3;0.500000;-18403.551963;-;-;-;11397.370759;11398.613995;-;
1;3;2.000000;-18403.299804;-;-;-;11397.370759;11398.449457;-;
1;3;5.000000;-18403.112301;-;-;-;11397.370759;11398.327107;-;
1;3;10.000000;-18403.081363;-;-;-;11397.370759;11398.306920;-;
1;4;2.000000;-18404.149301;-;-;-;11397.370759;11399.003770;-;
1;4;5.000000;-18405.150547;-;-;-;11397.370759;11399.657102;-;
1;4;10.000000;-18405.945933;-;-;-;11397.370759;11400.176106;-;
1;5;2.000000;-18403.182544;-;-;-;11397.370759;11398.372942;-;
1;5;5.000000;-18403.081183;-;-;-;11397.370759;11398.306802;-;
1;5;10.000000;-18403.080645;-;-;-;11397.370759;11398.306451;-;
2;0;0/0.000000;-18404.767660;0.000005;0.848227;1.000219;11397.370759;11399.975517;0.000016;
2;1;-1/1.000000;-18404.700526;0.000005;0.822551;1.000234;11397.370759;11399.950277;0.000018;
2;2;-1/0.500000;-18404.750924;0.000005;0.840781;1.000221;11397.370759;11399.969167;0.000017;
2;2;-1/2.000000;-18404.700482;0.000005;0.815832;1.000233;11397.370759;11399.950207;0.000018;
2;2;-1/5.000000;-18404.599614;0.000005;0.754382;1.000229;11397.370759;11399.911902;0.000020;
2;2;-1/10.000000;-18404.433736;0.000006;0.583899;1.000226;11397.370759;11399.843601;0.000027;
2;2;-1/20.000000;-18404.129825;0.000008;0.358341;1.000143;11397.370759;11399.673233;0.000049;
2;2;-1/40.000000;-18403.717535;0.000007;0.190009;1.000171;11397.370759;11399.271550;0.000079;
2;2;-1/80.000000;-18403.406348;0.000003;0.122895;1.000224;11397.370759;11398.818505;0.000043;
2;3;-1/1.000000;-18404.603594;0.000005;0.777836;1.000229;11397.370759;11399.914482;0.000020;
2;3;-1/2.000000;-18404.546543;0.000005;0.740769;1.000218;11397.370759;11399.893298;0.000022;
2;3;-1/5.000000;-18404.393829;0.000005;0.582015;1.000202;11397.370759;11399.832203;0.000032;
2;3;-1/10.000000;-18404.186485;0.000005;0.422161;1.000169;11397.370759;11399.727461;0.000051;
2;3;-1/20.000000;-18403.895895;0.000006;0.256226;1.000120;11397.370759;11399.494194;0.000078;
2;4;-1/1.000000;-18404.699013;0.000005;0.825505;1.000236;11397.370759;11399.949659;0.000018;
2;4;-1/2.000000;-18404.732694;0.000005;0.836830;1.000226;11397.370759;11399.962284;0.000017;
2;4;-1/5.000000;-18404.753475;0.000005;0.843846;1.000222;11397.370759;11399.970113;0.000017;
2;4;-1/10.000000;-18404.760532;0.000005;0.846140;1.000220;11397.370759;11399.972800;0.000017;
2;4;-1/20.000000;-18404.764088;0.000005;0.847184;1.000220;11397.370759;11399.974155;0.000016;

