FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-143.570233;-;-;-;-24.000000;-22.597160;-;
0;-;0.300000;-146.099163;-;-;-;-24.000000;-23.018012;-;
0;-;0.500000;-147.785116;-;-;-;-24.000000;-23.298580;-;
0;-;0.700000;-149.471070;-;-;-;-24.000000;-23.579148;-;
0;-;1.000000;-152.000000;-;-;-;-24.000000;-24.000000;-;
1;0;0.000000;-145.012410;-;-;-;-24.000000;-22.837160;-;
1;1;0.500000;-147.439307;-;-;-;-24.000000;-23.241032;-;
1;1;2.000000;-146.446686;-;-;-;-24.000000;-23.075845;-;
1;1;5.000000;-144.934516;-;-;-;-24.000000;-22.824197;-;
1;1;10.000000;-143.873233;-;-;-;-24.000000;-22.647584;-;
1;2;0.500000;-145.326681;-;-;-;-24.000000;-22.889459;-;
1;2;2.000000;-146.395228;-;-;-;-24.000000;-23.067282;-;
1;2;5.000000;-148.449298;-;-;-;-24.000000;-23.409110;-;
1;2;10.000000;-150.476899;-;-;-;-24.000000;-23.746533;-;
1;3;0.500000;-144.730713;-;-;-;-24.000000;-22.790281;-;
1;3;2.000000;-144.108538;-;-;-;-24.000000;-22.686742;-;
1;3;5.000000;-143.647565;-;-;-;-24.000000;-22.610029;-;
1;3;10.000000;-143.571968;-;-;-;-24.000000;-22.597449;-;
1;4;2.000000;-146.207858;-;-;-;-24.000000;-23.036100;-;
1;4;5.000000;-148.701058;-;-;-;-24.000000;-23.451006;-;
1;4;10.000000;-150.708978;-;-;-;-24.000000;-23.785154;-;
1;5;2.000000;-143.816963;-;-;-;-24.000000;-22.638220;-;
1;5;5.000000;-143.571468;-;-;-;-24.000000;-22.597366;-;
1;5;10.000000;-143.570233;-;-;-;-24.000000;-22.597160;-;
2;0;0/0.000000;-149.188295;0.000017;0.323857;1.000258;-24.000000;-22.715070;0.000001;
2;1;-1/1.000000;-149.127611;0.000018;0.306376;1.000230;-24.000000;-22.709447;0.000001;
2;2;-1/0.500000;-149.173400;0.000017;0.291561;1.000238;-24.000000;-22.714045;0.000001;
2;2;-1/2.000000;-149.131900;0.000018;0.291951;1.000195;-24.000000;-22.710292;0.000001;
2;2;-1/5.000000;-149.047431;0.000023;0.293141;1.000312;-24.000000;-22.705044;0.000001;
2;2;-1/10.000000;-148.870828;0.000035;0.272292;1.000219;-24.000000;-22.695726;0.000001;
2;2;-1/20.000000;-148.386871;0.000086;0.194733;1.000329;-24.000000;-22.678524;0.000000;
2;2;-1/40.000000;-146.956698;0.000220;0.093073;1.000349;-24.000000;-22.649557;0.000000;
2;2;-1/80.000000;-145.321701;0.000067;0.097757;1.000788;-24.000000;-22.623783;0.000000;
2;3;-1/1.000000;-148.988455;0.000023;0.282042;1.000259;-24.000000;-22.699533;0.000001;
2;3;-1/2.000000;-148.901204;0.000027;0.287854;1.000194;-24.000000;-22.695714;0.000000;
2;3;-1/5.000000;-148.617703;0.000042;0.259294;1.000211;-24.000000;-22.683213;0.000000;
2;3;-1/10.000000;-148.075347;0.000072;0.199413;1.000522;-24.000000;-22.668920;0.000000;
2;3;-1/20.000000;-147.064529;0.000094;0.143907;1.000304;-24.000000;-22.650801;0.000000;
2;4;-1/1.000000;-149.111340;0.000018;0.304964;1.000270;-24.000000;-22.708539;0.000001;
2;4;-1/2.000000;-149.147872;0.000017;0.291247;1.000250;-24.000000;-22.711083;0.000001;
2;4;-1/5.000000;-149.174182;0.000017;0.308487;1.000214;-24.000000;-22.713530;0.000001;
2;4;-1/10.000000;-149.179512;0.000015;0.320245;1.000154;-24.000000;-22.713118;0.000001;
2;4;-1/20.000000;-149.185597;0.000017;0.303008;1.000463;-24.000000;-22.713923;0.000001;

