FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-251.294189;-;-;-;-8.450980;-7.276710;-;
0;-;0.300000;-253.454034;-;-;-;-8.450980;-7.276710;-;
0;-;0.500000;-254.893931;-;-;-;-8.450980;-7.276710;-;
0;-;0.700000;-256.333827;-;-;-;-8.450980;-7.276710;-;
0;-;1.000000;-258.493673;-;-;-;-8.450980;-7.276710;-;
1;0;0.000000;-251.812321;-;-;-;-8.450980;-7.276710;-;
1;1;0.500000;-254.510193;-;-;-;-8.450980;-7.276710;-;
1;1;2.000000;-253.440803;-;-;-;-8.450980;-7.276710;-;
1;1;5.000000;-252.051965;-;-;-;-8.450980;-7.276710;-;
1;1;10.000000;-251.392457;-;-;-;-8.450980;-7.276710;-;
1;2;0.500000;-251.940898;-;-;-;-8.450980;-7.276710;-;
1;2;2.000000;-252.410389;-;-;-;-8.450980;-7.276710;-;
1;2;5.000000;-253.484718;-;-;-;-8.450980;-7.276710;-;
1;2;10.000000;-254.988352;-;-;-;-8.450980;-7.276710;-;
1;3;0.500000;-251.700809;-;-;-;-8.450980;-7.276710;-;
1;3;2.000000;-251.468636;-;-;-;-8.450980;-7.276710;-;
1;3;5.000000;-251.315341;-;-;-;-8.450980;-7.276710;-;
1;3;10.000000;-251.294533;-;-;-;-8.450980;-7.276710;-;
1;4;2.000000;-252.293164;-;-;-;-8.450980;-7.276710;-;
1;4;5.000000;-253.537844;-;-;-;-8.450980;-7.276710;-;
1;4;10.000000;-255.082285;-;-;-;-8.450980;-7.276710;-;
1;5;2.000000;-251.331477;-;-;-;-8.450980;-7.276710;-;
1;5;5.000000;-251.294202;-;-;-;-8.450980;-7.276710;-;
1;5;10.000000;-251.294189;-;-;-;-8.450980;-7.276710;-;
2;0;0/0.000000;-254.942213;0.000026;0.401052;1.000099;-8.450980;-7.390561;0.000001;
2;1;-1/1.000000;-254.802638;0.000026;0.396169;1.000049;-8.450980;-7.389809;0.000001;
2;2;-1/0.500000;-254.906110;0.000026;0.401021;1.000082;-8.450980;-7.390458;0.000001;
2;2;-1/2.000000;-254.802347;0.000027;0.393256;1.000052;-8.450980;-7.388850;0.000001;
2;2;-1/5.000000;-254.597804;0.000027;0.354694;1.000129;-8.450980;-7.386150;0.000001;
2;2;-1/10.000000;-254.262281;0.000028;0.273853;1.000126;-8.450980;-7.379763;0.000001;
2;2;-1/20.000000;-253.677415;0.000029;0.155001;1.000135;-8.450980;-7.364322;0.000000;
2;2;-1/40.000000;-252.931970;0.000024;0.064578;1.000963;-8.450980;-7.336771;0.000000;
2;2;-1/80.000000;-252.277478;0.000022;0.019108;1.004301;-8.450980;-7.310465;0.000000;
2;3;-1/1.000000;-254.649130;0.000025;0.371806;1.000154;-8.450980;-7.387372;0.000001;
2;3;-1/2.000000;-254.529213;0.000024;0.356098;1.000090;-8.450980;-7.385257;0.000001;
2;3;-1/5.000000;-254.210080;0.000022;0.277185;1.000097;-8.450980;-7.379450;0.000001;
2;3;-1/10.000000;-253.791564;0.000021;0.176147;1.000066;-8.450980;-7.368616;0.000000;
2;3;-1/20.000000;-253.241944;0.000019;0.100933;1.000209;-8.450980;-7.349370;0.000000;
2;4;-1/1.000000;-254.801965;0.000025;0.397160;1.000044;-8.450980;-7.389603;0.000001;
2;4;-1/2.000000;-254.869274;0.000026;0.399297;1.000028;-8.450980;-7.389963;0.000001;
2;4;-1/5.000000;-254.911189;0.000026;0.402190;1.000100;-8.450980;-7.390496;0.000001;
2;4;-1/10.000000;-254.926672;0.000026;0.406066;1.000105;-8.450980;-7.390486;0.000001;
2;4;-1/20.000000;-254.933137;0.000026;0.405783;1.000095;-8.450980;-7.390577;0.000001;

