FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-310.470970;-;-;-;-142.500000;-140.533330;-;
0;-;0.300000;-353.577145;-;-;-;-142.500000;-140.533330;-;
0;-;0.500000;-382.314594;-;-;-;-142.500000;-140.533330;-;
0;-;0.700000;-411.052043;-;-;-;-142.500000;-140.533330;-;
0;-;1.000000;-454.158218;-;-;-;-142.500000;-140.533330;-;
1;0;0.000000;-414.583164;-;-;-;-142.500000;-140.533330;-;
1;1;0.500000;-386.343932;-;-;-;-142.500000;-140.533330;-;
1;1;2.000000;-398.183003;-;-;-;-142.500000;-140.533330;-;
1;1;5.000000;-418.886109;-;-;-;-142.500000;-140.533330;-;
1;1;10.000000;-440.404955;-;-;-;-142.500000;-140.533330;-;
1;2;0.500000;-421.455760;-;-;-;-142.500000;-140.533330;-;
1;2;2.000000;-437.634515;-;-;-;-142.500000;-140.533330;-;
1;2;5.000000;-451.269631;-;-;-;-142.500000;-140.533330;-;
1;2;10.000000;-454.062259;-;-;-;-142.500000;-140.533330;-;
1;3;0.500000;-407.177477;-;-;-;-142.500000;-140.533330;-;
1;3;2.000000;-383.775624;-;-;-;-142.500000;-140.533330;-;
1;3;5.000000;-345.994886;-;-;-;-142.500000;-140.533330;-;
1;3;10.000000;-319.611528;-;-;-;-142.500000;-140.533330;-;
1;4;2.000000;-443.258260;-;-;-;-142.500000;-140.533330;-;
1;4;5.000000;-453.930480;-;-;-;-142.500000;-140.533330;-;
1;4;10.000000;-454.157857;-;-;-;-142.500000;-140.533330;-;
1;5;2.000000;-385.908067;-;-;-;-142.500000;-140.533330;-;
1;5;5.000000;-339.167877;-;-;-;-142.500000;-140.533330;-;
1;5;10.000000;-316.202254;-;-;-;-142.500000;-140.533330;-;
2;0;0/0.000000;-383.577545;0.036421;0.965682;1.000166;-142.500000;-140.922607;0.000003;
2;1;-1/1.000000;-392.577591;0.034326;0.964463;1.000140;-142.500000;-140.922693;0.000003;
2;2;-1/0.500000;-385.845932;0.036330;0.965631;1.000161;-142.500000;-140.922525;0.000003;
2;2;-1/2.000000;-392.554478;0.035165;0.965151;1.000142;-142.500000;-140.922222;0.000003;
2;2;-1/5.000000;-404.803447;0.029717;0.965134;1.000098;-142.500000;-140.921513;0.000003;
2;2;-1/10.000000;-419.713725;0.018292;0.965662;1.000061;-142.500000;-140.920128;0.000003;
2;2;-1/20.000000;-433.564031;0.006328;0.965842;1.000076;-142.500000;-140.917096;0.000003;
2;2;-1/40.000000;-441.713552;0.001696;0.964809;1.000079;-142.500000;-140.910150;0.000002;
2;2;-1/80.000000;-446.227452;0.000511;0.959097;1.000053;-142.500000;-140.892638;0.000002;
2;3;-1/1.000000;-409.354093;0.022135;0.965153;1.000088;-142.500000;-140.921463;0.000003;
2;3;-1/2.000000;-413.921703;0.018702;0.965667;1.000077;-142.500000;-140.921144;0.000003;
2;3;-1/5.000000;-423.010723;0.011912;0.965529;1.000058;-142.500000;-140.920240;0.000003;
2;3;-1/10.000000;-430.932553;0.006609;0.966209;1.000066;-142.500000;-140.918741;0.000003;
2;3;-1/20.000000;-437.940961;0.002920;0.966433;1.000076;-142.500000;-140.915491;0.000003;
2;4;-1/1.000000;-393.936170;0.032183;0.964701;1.000133;-142.500000;-140.922211;0.000003;
2;4;-1/2.000000;-389.066748;0.034488;0.965281;1.000149;-142.500000;-140.922408;0.000003;
2;4;-1/5.000000;-385.848159;0.035712;0.965642;1.000159;-142.500000;-140.922536;0.000003;
2;4;-1/10.000000;-384.725270;0.036079;0.965716;1.000163;-142.500000;-140.922578;0.000003;
2;4;-1/20.000000;-384.154498;0.036254;0.965698;1.000165;-142.500000;-140.922593;0.000003;

