FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-18403.531250;-;-;-;5247.906250;5247.906250;-;
0;-;0.300000;-18403.541228;-;-;-;5247.906250;5247.927038;-;
0;-;0.500000;-18403.547880;-;-;-;5247.906250;5247.940896;-;
0;-;0.700000;-18403.554533;-;-;-;5247.906250;5247.954754;-;
0;-;1.000000;-18403.564511;-;-;-;5247.906250;5247.975542;-;
1;0;0.000000;-18403.540696;-;-;-;5247.906250;5247.925928;-;
1;1;0.500000;-18403.546983;-;-;-;5247.906250;5247.939027;-;
1;1;2.000000;-18403.544343;-;-;-;5247.906250;5247.933526;-;
1;1;5.000000;-18403.539681;-;-;-;5247.906250;5247.923815;-;
1;1;10.000000;-18403.534689;-;-;-;5247.906250;5247.913414;-;
1;2;0.500000;-18403.542440;-;-;-;5247.906250;5247.929561;-;
1;2;2.000000;-18403.547919;-;-;-;5247.906250;5247.940975;-;
1;2;5.000000;-18403.556642;-;-;-;5247.906250;5247.959148;-;
1;2;10.000000;-18403.562569;-;-;-;5247.906250;5247.971496;-;
1;3;0.500000;-18403.539072;-;-;-;5247.906250;5247.922546;-;
1;3;2.000000;-18403.535231;-;-;-;5247.906250;5247.914543;-;
1;3;5.000000;-18403.531958;-;-;-;5247.906250;5247.907724;-;
1;3;10.000000;-18403.531274;-;-;-;5247.906250;5247.906301;-;
1;4;2.000000;-18403.547459;-;-;-;5247.906250;5247.940017;-;
1;4;5.000000;-18403.558251;-;-;-;5247.906250;5247.962501;-;
1;4;10.000000;-18403.563333;-;-;-;5247.906250;5247.973087;-;
1;5;2.000000;-18403.533932;-;-;-;5247.906250;5247.911838;-;
1;5;5.000000;-18403.531311;-;-;-;5247.906250;5247.906378;-;
1;5;10.000000;-18403.531250;-;-;-;5247.906250;5247.906250;-;
2;0;0/0.000000;-18403.549161;0.000000;0.593533;1.000035;5247.906250;5247.941919;0.000000;
2;1;-1/1.000000;-18403.548441;0.000000;0.620798;1.000037;5247.906250;5247.940723;0.000000;
2;2;-1/0.500000;-18403.548986;0.000000;0.599055;1.000035;5247.906250;5247.941628;0.000000;
2;2;-1/2.000000;-18403.548465;0.000000;0.613162;1.000036;5247.906250;5247.940757;0.000000;
2;2;-1/5.000000;-18403.547434;0.000000;0.651776;1.000054;5247.906250;5247.939006;0.000000;
2;2;-1/10.000000;-18403.545779;0.000000;0.713123;1.000073;5247.906250;5247.936118;0.000000;
2;2;-1/20.000000;-18403.542837;0.000000;0.746964;1.000099;5247.906250;5247.930695;0.000000;
2;2;-1/40.000000;-18403.538673;0.000000;0.546759;1.000102;5247.906250;5247.922306;0.000000;
2;2;-1/80.000000;-18403.535105;0.000000;0.464519;1.000089;5247.906250;5247.914637;0.000000;
2;3;-1/1.000000;-18403.546783;0.000000;0.737815;1.000058;5247.906250;5247.937940;0.000000;
2;3;-1/2.000000;-18403.546205;0.000000;0.762119;1.000065;5247.906250;5247.936949;0.000000;
2;3;-1/5.000000;-18403.544712;0.000000;0.812121;1.000075;5247.906250;5247.934310;0.000000;
2;3;-1/10.000000;-18403.542777;0.000000;0.789248;1.000078;5247.906250;5247.930703;0.000000;
2;3;-1/20.000000;-18403.540044;0.000000;0.644574;1.000095;5247.906250;5247.925233;0.000000;
2;4;-1/1.000000;-18403.548354;0.000000;0.646789;1.000040;5247.906250;5247.940585;0.000000;
2;4;-1/2.000000;-18403.548745;0.000000;0.620320;1.000034;5247.906250;5247.941233;0.000000;
2;4;-1/5.000000;-18403.548991;0.000000;0.605059;1.000034;5247.906250;5247.941639;0.000000;
2;4;-1/10.000000;-18403.549076;0.000000;0.599423;1.000035;5247.906250;5247.941779;0.000000;
2;4;-1/20.000000;-18403.549118;0.000000;0.596522;1.000035;5247.906250;5247.941849;0.000000;

