FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-689.947066;-689.947066;-;
0;-;0.300000;-1000.172723;-;-;-;-689.947066;-688.730453;-;
0;-;0.500000;-1001.371578;-;-;-;-689.947066;-687.919377;-;
0;-;0.700000;-1002.570434;-;-;-;-689.947066;-687.108301;-;
0;-;1.000000;-1004.368717;-;-;-;-689.947066;-685.891688;-;
1;0;0.000000;-1001.882862;-;-;-;-689.947066;-687.573472;-;
1;1;0.500000;-1001.435479;-;-;-;-689.947066;-687.876145;-;
1;1;2.000000;-1001.626602;-;-;-;-689.947066;-687.746843;-;
1;1;5.000000;-1002.001170;-;-;-;-689.947066;-687.493432;-;
1;1;10.000000;-1002.577546;-;-;-;-689.947066;-687.103490;-;
1;2;0.500000;-1002.239640;-;-;-;-689.947066;-687.332097;-;
1;2;2.000000;-1003.156583;-;-;-;-689.947066;-686.711747;-;
1;2;5.000000;-1004.085995;-;-;-;-689.947066;-686.082961;-;
1;2;10.000000;-1004.351776;-;-;-;-689.947066;-685.903149;-;
1;3;0.500000;-1001.515817;-;-;-;-689.947066;-687.821793;-;
1;3;2.000000;-1000.460922;-;-;-;-689.947066;-688.535474;-;
1;3;5.000000;-999.092622;-;-;-;-689.947066;-689.461186;-;
1;3;10.000000;-998.468948;-;-;-;-689.947066;-689.883128;-;
1;4;2.000000;-1003.337821;-;-;-;-689.947066;-686.589131;-;
1;4;5.000000;-1004.295192;-;-;-;-689.947066;-685.941430;-;
1;4;10.000000;-1004.367815;-;-;-;-689.947066;-685.892298;-;
1;5;2.000000;-1000.427903;-;-;-;-689.947066;-688.557812;-;
1;5;5.000000;-998.786170;-;-;-;-689.947066;-689.668514;-;
1;5;10.000000;-998.402720;-;-;-;-689.947066;-689.927933;-;
2;0;0/0.000000;-1002.995533;0.000015;0.394945;1.000041;-689.947066;-686.400707;0.000009;
2;1;-1/1.000000;-1003.008398;0.000014;0.399598;1.000049;-689.947066;-686.398872;0.000009;
2;2;-1/0.500000;-1003.000890;0.000015;0.382457;1.000224;-689.947066;-686.398825;0.000009;
2;2;-1/2.000000;-1003.007792;0.000015;0.399532;1.000035;-689.947066;-686.396593;0.000010;
2;2;-1/5.000000;-1003.034745;0.000013;0.405037;1.000104;-689.947066;-686.386676;0.000008;
2;2;-1/10.000000;-1003.068121;0.000012;0.380299;1.000014;-689.947066;-686.378530;0.000008;
2;2;-1/20.000000;-1003.133257;0.000010;0.396935;1.000100;-689.947066;-686.355508;0.000006;
2;2;-1/40.000000;-1003.236013;0.000007;0.350946;1.000104;-689.947066;-686.326203;0.000005;
2;2;-1/80.000000;-1003.380544;0.000004;0.243450;1.000167;-689.947066;-686.294279;0.000004;
2;3;-1/1.000000;-1003.065852;0.000012;0.399267;1.000097;-689.947066;-686.378484;0.000007;
2;3;-1/2.000000;-1003.075214;0.000011;0.402948;1.000028;-689.947066;-686.374845;0.000007;
2;3;-1/5.000000;-1003.099774;0.000010;0.414610;1.000093;-689.947066;-686.365126;0.000006;
2;3;-1/10.000000;-1003.140639;0.000009;0.409679;1.000044;-689.947066;-686.353718;0.000006;
2;3;-1/20.000000;-1003.208684;0.000007;0.396577;1.000163;-689.947066;-686.331780;0.000005;
2;4;-1/1.000000;-1003.008684;0.000014;0.397600;1.000161;-689.947066;-686.397190;0.000010;
2;4;-1/2.000000;-1003.004399;0.000015;0.390348;1.000019;-689.947066;-686.400603;0.000009;
2;4;-1/5.000000;-1003.001812;0.000015;0.396147;1.000095;-689.947066;-686.398074;0.000009;
2;4;-1/10.000000;-1002.994320;0.000015;0.395791;1.000168;-689.947066;-686.401019;0.000010;
2;4;-1/20.000000;-1002.999502;0.000014;0.407487;1.000076;-689.947066;-686.398316;0.000009;

