FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-678.133603;-;-;-;-15.428571;-12.342861;-;
0;-;0.300000;-683.561314;-;-;-;-15.428571;-12.941302;-;
0;-;0.500000;-687.179788;-;-;-;-15.428571;-13.340262;-;
0;-;0.700000;-690.798263;-;-;-;-15.428571;-13.739222;-;
0;-;1.000000;-696.225974;-;-;-;-15.428571;-14.337662;-;
1;0;0.000000;-679.038223;-;-;-;-15.428571;-12.442602;-;
1;1;0.500000;-686.166365;-;-;-;-15.428571;-13.228525;-;
1;1;2.000000;-683.363212;-;-;-;-15.428571;-12.919460;-;
1;1;5.000000;-679.858701;-;-;-;-15.428571;-12.533065;-;
1;1;10.000000;-678.332383;-;-;-;-15.428571;-12.364778;-;
1;2;0.500000;-679.268896;-;-;-;-15.428571;-12.468035;-;
1;2;2.000000;-680.124801;-;-;-;-15.428571;-12.562404;-;
1;2;5.000000;-682.162774;-;-;-;-15.428571;-12.787104;-;
1;2;10.000000;-685.252727;-;-;-;-15.428571;-13.127791;-;
1;3;0.500000;-678.839624;-;-;-;-15.428571;-12.420705;-;
1;3;2.000000;-678.431424;-;-;-;-15.428571;-12.375698;-;
1;3;5.000000;-678.168462;-;-;-;-15.428571;-12.346705;-;
1;3;10.000000;-678.134136;-;-;-;-15.428571;-12.342920;-;
1;4;2.000000;-679.897611;-;-;-;-15.428571;-12.537355;-;
1;4;5.000000;-682.226447;-;-;-;-15.428571;-12.794124;-;
1;4;10.000000;-685.393411;-;-;-;-15.428571;-13.143302;-;
1;5;2.000000;-678.178834;-;-;-;-15.428571;-12.347848;-;
1;5;5.000000;-678.133609;-;-;-;-15.428571;-12.342862;-;
1;5;10.000000;-678.133603;-;-;-;-15.428571;-12.342861;-;
2;0;0/0.000000;-685.156952;0.000074;0.734949;1.000065;-15.428571;-13.075232;0.000008;
2;1;-1/1.000000;-684.944143;0.000068;0.757709;1.000055;-15.428571;-13.057312;0.000007;
2;2;-1/0.500000;-685.092806;0.000073;0.740171;1.000061;-15.428571;-13.069462;0.000008;
2;2;-1/2.000000;-684.905397;0.000069;0.756220;1.000052;-15.428571;-13.051856;0.000007;
2;2;-1/5.000000;-684.560208;0.000062;0.760860;1.000038;-15.428571;-13.018095;0.000007;
2;2;-1/10.000000;-684.052475;0.000054;0.657575;1.000050;-15.428571;-12.965996;0.000006;
2;2;-1/20.000000;-683.231702;0.000050;0.448958;1.000126;-15.428571;-12.875831;0.000005;
2;2;-1/40.000000;-682.020409;0.000083;0.177933;1.000152;-15.428571;-12.744039;0.000003;
2;2;-1/80.000000;-680.453583;0.000125;0.068671;1.000304;-15.428571;-12.601931;0.000002;
2;3;-1/1.000000;-684.730630;0.000062;0.736885;1.000039;-15.428571;-13.035547;0.000007;
2;3;-1/2.000000;-684.556081;0.000058;0.724032;1.000038;-15.428571;-13.018495;0.000007;
2;3;-1/5.000000;-684.103962;0.000049;0.673388;1.000054;-15.428571;-12.972404;0.000006;
2;3;-1/10.000000;-683.513706;0.000043;0.556881;1.000121;-15.428571;-12.908005;0.000005;
2;3;-1/20.000000;-682.660831;0.000049;0.311967;1.000165;-15.428571;-12.811651;0.000004;
2;4;-1/1.000000;-684.943374;0.000068;0.758862;1.000057;-15.428571;-13.055778;0.000007;
2;4;-1/2.000000;-685.047584;0.000071;0.745228;1.000060;-15.428571;-13.065468;0.000007;
2;4;-1/5.000000;-685.112762;0.000073;0.739626;1.000064;-15.428571;-13.071355;0.000008;
2;4;-1/10.000000;-685.134731;0.000074;0.737247;1.000065;-15.428571;-13.073291;0.000008;
2;4;-1/20.000000;-685.145843;0.000074;0.736025;1.000064;-15.428571;-13.074257;0.000008;

