FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-738.615385;-;-;-;-3.230769;-3.230769;-;
0;-;0.300000;-741.462473;-;-;-;-3.230769;-2.621769;-;
0;-;0.500000;-743.360532;-;-;-;-3.230769;-2.215769;-;
0;-;0.700000;-745.258591;-;-;-;-3.230769;-1.809769;-;
0;-;1.000000;-748.105679;-;-;-;-3.230769;-1.200769;-;
1;0;0.000000;-738.766424;-;-;-;-3.230769;-3.198462;-;
1;1;0.500000;-742.789056;-;-;-;-3.230769;-2.338010;-;
1;1;2.000000;-741.227545;-;-;-;-3.230769;-2.672021;-;
1;1;5.000000;-739.390062;-;-;-;-3.230769;-3.065064;-;
1;1;10.000000;-738.689774;-;-;-;-3.230769;-3.214857;-;
1;2;0.500000;-738.806556;-;-;-;-3.230769;-3.189877;-;
1;2;2.000000;-738.959242;-;-;-;-3.230769;-3.157217;-;
1;2;5.000000;-739.346239;-;-;-;-3.230769;-3.074438;-;
1;2;10.000000;-740.011780;-;-;-;-3.230769;-2.932076;-;
1;3;0.500000;-738.732262;-;-;-;-3.230769;-3.205769;-;
1;3;2.000000;-738.663426;-;-;-;-3.230769;-3.220493;-;
1;3;5.000000;-738.620717;-;-;-;-3.230769;-3.229629;-;
1;3;10.000000;-738.615459;-;-;-;-3.230769;-3.230753;-;
1;4;2.000000;-738.915059;-;-;-;-3.230769;-3.166668;-;
1;4;5.000000;-739.346922;-;-;-;-3.230769;-3.074291;-;
1;4;10.000000;-740.022070;-;-;-;-3.230769;-2.929875;-;
1;5;2.000000;-738.617788;-;-;-;-3.230769;-3.230255;-;
1;5;5.000000;-738.615385;-;-;-;-3.230769;-3.230769;-;
1;5;10.000000;-738.615385;-;-;-;-3.230769;-3.230769;-;
2;0;0/0.000000;-743.234430;0.000064;0.909009;1.000080;-3.230769;-1.610610;0.000003;
2;1;-1/1.000000;-742.785545;0.000054;0.923016;1.000092;-3.230769;-1.667552;0.000003;
2;2;-1/0.500000;-743.119364;0.000064;0.912588;1.000082;-3.230769;-1.625288;0.000003;
2;2;-1/2.000000;-742.775158;0.000058;0.915929;1.000092;-3.230769;-1.670163;0.000003;
2;2;-1/5.000000;-742.123026;0.000052;0.910201;1.000098;-3.230769;-1.758610;0.000004;
2;2;-1/10.000000;-741.253698;0.000038;0.916067;1.000062;-3.230769;-1.882950;0.000005;
2;2;-1/20.000000;-740.292151;0.000017;0.852315;1.000006;-3.230769;-2.031826;0.000007;
2;2;-1/40.000000;-739.578556;0.000006;0.468471;1.000027;-3.230769;-2.154178;0.000015;
2;2;-1/80.000000;-739.136523;0.000002;0.139121;1.000362;-3.230769;-2.264292;0.000055;
2;3;-1/1.000000;-742.393904;0.000048;0.923295;1.000098;-3.230769;-1.719465;0.000004;
2;3;-1/2.000000;-742.073888;0.000043;0.925424;1.000093;-3.230769;-1.763339;0.000004;
2;3;-1/5.000000;-741.364309;0.000031;0.930144;1.000048;-3.230769;-1.864856;0.000005;
2;3;-1/10.000000;-740.670209;0.000020;0.920393;1.000014;-3.230769;-1.970523;0.000006;
2;3;-1/20.000000;-740.002120;0.000010;0.731572;1.000005;-3.230769;-2.077883;0.000009;
2;4;-1/1.000000;-742.784689;0.000054;0.923279;1.000092;-3.230769;-1.667614;0.000003;
2;4;-1/2.000000;-742.999980;0.000061;0.920666;1.000086;-3.230769;-1.639951;0.000003;
2;4;-1/5.000000;-743.138242;0.000063;0.913704;1.000082;-3.230769;-1.622545;0.000003;
2;4;-1/10.000000;-743.185929;0.000064;0.911341;1.000081;-3.230769;-1.616612;0.000003;
2;4;-1/20.000000;-743.210076;0.000064;0.910185;1.000080;-3.230769;-1.613620;0.000003;

