FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-681.097109;-681.097109;-;
0;-;0.300000;-1000.172723;-;-;-;-681.097109;-679.562766;-;
0;-;0.500000;-1001.371578;-;-;-;-681.097109;-678.539872;-;
0;-;0.700000;-1002.570434;-;-;-;-681.097109;-677.516977;-;
0;-;1.000000;-1004.368717;-;-;-;-681.097109;-675.982635;-;
1;0;0.000000;-1001.694745;-;-;-;-681.097109;-678.264137;-;
1;1;0.500000;-1001.411972;-;-;-;-681.097109;-678.505407;-;
1;1;2.000000;-1001.533005;-;-;-;-681.097109;-678.402138;-;
1;1;5.000000;-1001.773109;-;-;-;-681.097109;-678.197275;-;
1;1;10.000000;-1002.160480;-;-;-;-681.097109;-677.866760;-;
1;2;0.500000;-1002.059834;-;-;-;-681.097109;-677.952633;-;
1;2;2.000000;-1003.017289;-;-;-;-681.097109;-677.135708;-;
1;2;5.000000;-1004.031053;-;-;-;-681.097109;-676.270738;-;
1;2;10.000000;-1004.345430;-;-;-;-681.097109;-676.002503;-;
1;3;0.500000;-1001.323050;-;-;-;-681.097109;-678.581277;-;
1;3;2.000000;-1000.276911;-;-;-;-681.097109;-679.473871;-;
1;3;5.000000;-998.982421;-;-;-;-681.097109;-680.578363;-;
1;3;10.000000;-998.443418;-;-;-;-681.097109;-681.038254;-;
1;4;2.000000;-1003.175892;-;-;-;-681.097109;-677.000384;-;
1;4;5.000000;-1004.262831;-;-;-;-681.097109;-676.072979;-;
1;4;10.000000;-1004.366846;-;-;-;-681.097109;-675.984230;-;
1;5;2.000000;-1000.213599;-;-;-;-681.097109;-679.527890;-;
1;5;5.000000;-998.687007;-;-;-;-681.097109;-680.830418;-;
1;5;10.000000;-998.390738;-;-;-;-681.097109;-681.083202;-;
2;0;0/0.000000;-1003.000215;0.000015;0.391713;1.000136;-681.097109;-676.858225;0.000012;
2;1;-1/1.000000;-1003.000215;0.000015;0.391713;1.000136;-681.097109;-676.858225;0.000012;
2;2;-1/0.500000;-1003.002258;0.000015;0.385192;1.000193;-681.097109;-676.854476;0.000012;
2;2;-1/2.000000;-1003.009060;0.000014;0.404295;1.000185;-681.097109;-676.852682;0.000011;
2;2;-1/5.000000;-1003.027276;0.000013;0.412154;1.000086;-681.097109;-676.845819;0.000011;
2;2;-1/10.000000;-1003.047022;0.000013;0.417848;1.000158;-681.097109;-676.837048;0.000010;
2;2;-1/20.000000;-1003.090096;0.000011;0.418131;1.000028;-681.097109;-676.817269;0.000009;
2;2;-1/40.000000;-1003.169249;0.000008;0.382061;1.000152;-681.097109;-676.786337;0.000007;
2;2;-1/80.000000;-1003.283422;0.000006;0.336033;1.000185;-681.097109;-676.742262;0.000006;
2;3;-1/1.000000;-1003.064983;0.000012;0.401360;1.000141;-681.097109;-676.826783;0.000010;
2;3;-1/2.000000;-1003.075041;0.000011;0.394915;1.000089;-681.097109;-676.824772;0.000009;
2;3;-1/5.000000;-1003.088486;0.000011;0.397626;1.000095;-681.097109;-676.819203;0.000009;
2;3;-1/10.000000;-1003.115061;0.000010;0.395404;1.000091;-681.097109;-676.807011;0.000008;
2;3;-1/20.000000;-1003.161954;0.000008;0.402755;1.000111;-681.097109;-676.788264;0.000007;
2;4;-1/1.000000;-1003.007334;0.000014;0.408326;1.000078;-681.097109;-676.855506;0.000011;
2;4;-1/2.000000;-1003.003718;0.000015;0.390840;1.000140;-681.097109;-676.857806;0.000012;
2;4;-1/5.000000;-1003.003265;0.000015;0.390177;1.000146;-681.097109;-676.855567;0.000012;
2;4;-1/10.000000;-1003.001380;0.000015;0.398541;1.000030;-681.097109;-676.857344;0.000012;
2;4;-1/20.000000;-1002.998579;0.000015;0.409082;1.000218;-681.097109;-676.858981;0.000012;

