FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-121.962955;-;-;-;-30.889535;-29.728765;-;
0;-;0.300000;-124.639404;-;-;-;-30.889535;-29.728765;-;
0;-;0.500000;-126.423704;-;-;-;-30.889535;-29.728765;-;
0;-;0.700000;-128.208004;-;-;-;-30.889535;-29.728765;-;
0;-;1.000000;-130.884453;-;-;-;-30.889535;-29.728765;-;
1;0;0.000000;-124.337077;-;-;-;-30.889535;-29.728765;-;
1;1;0.500000;-126.163172;-;-;-;-30.889535;-29.728765;-;
1;1;2.000000;-125.399007;-;-;-;-30.889535;-29.728765;-;
1;1;5.000000;-124.076963;-;-;-;-30.889535;-29.728765;-;
1;1;10.000000;-122.747637;-;-;-;-30.889535;-29.728765;-;
1;2;0.500000;-124.787767;-;-;-;-30.889535;-29.728765;-;
1;2;2.000000;-126.221173;-;-;-;-30.889535;-29.728765;-;
1;2;5.000000;-128.570769;-;-;-;-30.889535;-29.728765;-;
1;2;10.000000;-130.261488;-;-;-;-30.889535;-29.728765;-;
1;3;0.500000;-123.920122;-;-;-;-30.889535;-29.728765;-;
1;3;2.000000;-122.944209;-;-;-;-30.889535;-29.728765;-;
1;3;5.000000;-122.131394;-;-;-;-30.889535;-29.728765;-;
1;3;10.000000;-121.968347;-;-;-;-30.889535;-29.728765;-;
1;4;2.000000;-126.079415;-;-;-;-30.889535;-29.728765;-;
1;4;5.000000;-128.985189;-;-;-;-30.889535;-29.728765;-;
1;4;10.000000;-130.480126;-;-;-;-30.889535;-29.728765;-;
1;5;2.000000;-122.594738;-;-;-;-30.889535;-29.728765;-;
1;5;5.000000;-121.974861;-;-;-;-30.889535;-29.728765;-;
1;5;10.000000;-121.962971;-;-;-;-30.889535;-29.728765;-;
2;0;0/0.000000;-125.569659;0.000076;0.055392;1.002850;-30.889535;-29.790603;0.000001;
2;1;-1/1.000000;-125.548822;0.000075;0.092073;1.001016;-30.889535;-29.790252;0.000001;
2;2;-1/0.500000;-125.559245;0.000080;0.083203;1.001852;-30.889535;-29.790729;0.000001;
2;2;-1/2.000000;-125.541981;0.000071;0.082259;1.001421;-30.889535;-29.791669;0.000001;
2;2;-1/5.000000;-125.483257;0.000073;0.084628;1.001130;-30.889535;-29.790104;0.000001;
2;2;-1/10.000000;-125.408471;0.000069;0.074659;1.002271;-30.889535;-29.790184;0.000001;
2;2;-1/20.000000;-125.256806;0.000059;0.073610;1.001779;-30.889535;-29.790712;0.000001;
2;2;-1/40.000000;-125.010585;0.000069;0.038686;1.002147;-30.889535;-29.788248;0.000001;
2;2;-1/80.000000;-124.593997;0.000098;0.019568;1.005137;-30.889535;-29.783360;0.000001;
2;3;-1/1.000000;-125.479756;0.000074;0.077451;1.001753;-30.889535;-29.791724;0.000001;
2;3;-1/2.000000;-125.456572;0.000061;0.070675;1.003253;-30.889535;-29.792760;0.000001;
2;3;-1/5.000000;-125.374542;0.000061;0.074034;1.002831;-30.889535;-29.790486;0.000001;
2;3;-1/10.000000;-125.255694;0.000055;0.057825;1.002298;-30.889535;-29.791986;0.000001;
2;3;-1/20.000000;-125.070220;0.000050;0.047148;1.002488;-30.889535;-29.789382;0.000001;
2;4;-1/1.000000;-125.546444;0.000075;0.069699;1.002312;-30.889535;-29.790326;0.000001;
2;4;-1/2.000000;-125.559515;0.000090;0.085155;1.001235;-30.889535;-29.790874;0.000001;
2;4;-1/5.000000;-125.568385;0.000080;0.082881;1.001409;-30.889535;-29.790777;0.000001;
2;4;-1/10.000000;-125.582078;0.000091;0.087572;1.001834;-30.889535;-29.790185;0.000001;
2;4;-1/20.000000;-125.578291;0.000077;0.091146;1.001117;-30.889535;-29.791115;0.000001;

