FOLLOWER_BEHAVIOR;COOPERATION_TYPE;PARAMS;LEADER_OBJ_MEAN;LEADER_OBJ_VARIANCE;LEADER_VARS_ESS;LEADER_VARS_RHAT;FOLLOWER_OBJ_OPT;FOLLOWER_OBJ_NEAROPT_MEAN;FOLLOWER_OBJ_NEAROPT_VARIANCE;
0;-;0.000000;-998.374440;-;-;-;-271.777127;-271.777127;-;
0;-;0.300000;-1000.172723;-;-;-;-271.777127;-270.961261;-;
0;-;0.500000;-1001.371578;-;-;-;-271.777127;-270.417349;-;
0;-;0.700000;-1002.570434;-;-;-;-271.777127;-269.873438;-;
0;-;1.000000;-1004.368717;-;-;-;-271.777127;-269.057571;-;
1;0;0.000000;-1000.801929;-;-;-;-271.777127;-270.675795;-;
1;1;0.500000;-1001.300385;-;-;-;-271.777127;-270.449649;-;
1;1;2.000000;-1001.087608;-;-;-;-271.777127;-270.546184;-;
1;1;5.000000;-1000.672618;-;-;-;-271.777127;-270.734462;-;
1;1;10.000000;-1000.045764;-;-;-;-271.777127;-271.018861;-;
1;2;0.500000;-1001.166914;-;-;-;-271.777127;-270.510204;-;
1;2;2.000000;-1002.222755;-;-;-;-271.777127;-270.031177;-;
1;2;5.000000;-1003.612677;-;-;-;-271.777127;-269.400581;-;
1;2;10.000000;-1004.264516;-;-;-;-271.777127;-269.104846;-;
1;3;0.500000;-1000.448301;-;-;-;-271.777127;-270.836233;-;
1;3;2.000000;-999.545104;-;-;-;-271.777127;-271.246006;-;
1;3;5.000000;-998.641795;-;-;-;-271.777127;-271.655830;-;
1;3;10.000000;-998.389783;-;-;-;-271.777127;-271.770166;-;
1;4;2.000000;-1002.246363;-;-;-;-271.777127;-270.020466;-;
1;4;5.000000;-1003.921581;-;-;-;-271.777127;-269.260433;-;
1;4;10.000000;-1004.335363;-;-;-;-271.777127;-269.072703;-;
1;5;2.000000;-999.357495;-;-;-;-271.777127;-271.331123;-;
1;5;5.000000;-998.439729;-;-;-;-271.777127;-271.747506;-;
1;5;10.000000;-998.375151;-;-;-;-271.777127;-271.776805;-;
2;0;0/0.000000;-1003.000215;0.000015;0.391713;1.000136;-271.777127;-269.153754;0.000006;
2;1;-1/1.000000;-1002.984863;0.000016;0.386724;1.000080;-271.777127;-269.154182;0.000006;
2;2;-1/0.500000;-1002.995322;0.000015;0.389102;1.000120;-271.777127;-269.154115;0.000006;
2;2;-1/2.000000;-1002.983771;0.000015;0.392725;1.000113;-271.777127;-269.155160;0.000006;
2;2;-1/5.000000;-1002.958273;0.000016;0.393451;1.000109;-271.777127;-269.160963;0.000007;
2;2;-1/10.000000;-1002.910898;0.000020;0.361904;1.000243;-271.777127;-269.171291;0.000008;
2;2;-1/20.000000;-1002.798914;0.000024;0.342235;1.000179;-271.777127;-269.198249;0.000010;
2;2;-1/40.000000;-1002.525373;0.000043;0.248508;1.000125;-271.777127;-269.280566;0.000020;
2;2;-1/80.000000;-1001.764914;0.000116;0.117114;1.000706;-271.777127;-269.589803;0.000073;
2;3;-1/1.000000;-1002.764340;0.000021;0.363087;1.000045;-271.777127;-269.197877;0.000009;
2;3;-1/2.000000;-1002.725664;0.000021;0.363775;1.000110;-271.777127;-269.209975;0.000010;
2;3;-1/5.000000;-1002.604066;0.000025;0.311166;1.000176;-271.777127;-269.241231;0.000014;
2;3;-1/10.000000;-1002.404905;0.000031;0.268812;1.000103;-271.777127;-269.301429;0.000019;
2;3;-1/20.000000;-1002.017296;0.000041;0.184448;1.000275;-271.777127;-269.443870;0.000037;
2;4;-1/1.000000;-1002.964660;0.000016;0.384311;1.000245;-271.777127;-269.159586;0.000007;
2;4;-1/2.000000;-1002.984282;0.000015;0.397357;1.000245;-271.777127;-269.155629;0.000006;
2;4;-1/5.000000;-1002.992671;0.000016;0.381334;1.000152;-271.777127;-269.151828;0.000006;
2;4;-1/10.000000;-1002.996032;0.000015;0.393712;1.000288;-271.777127;-269.152449;0.000006;
2;4;-1/20.000000;-1002.999718;0.000015;0.397941;1.000150;-271.777127;-269.153039;0.000006;

